"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"County","Etowah","AL","01055","=""01055""","103208","2019-2023","2022","Census","United States"
"County","Fayette","AL","01057","=""01057""","16173","2019-2023","2022","Census","United States"
"County","Franklin","AL","01059","=""01059""","31978","2019-2023","2022","Census","United States"
"County","Geneva","AL","01061","=""01061""","26726","2019-2023","2022","Census","United States"
"County","Greene","AL","01063","=""01063""","7589","2019-2023","2022","Census","United States"
"County","Hale","AL","01065","=""01065""","14749","2019-2023","2022","Census","United States"
"County","Henry","AL","01067","=""01067""","17450","2019-2023","2022","Census","United States"
"County","Houston","AL","01069","=""01069""","107628","2019-2023","2022","Census","United States"
"County","Jackson","AL","01071","=""01071""","52839","2019-2023","2022","Census","United States"
"County","Jefferson","AL","01073","=""01073""","669744","2019-2023","2022","Census","United States"
"County","Lamar","AL","01075","=""01075""","13809","2019-2023","2022","Census","United States"
"County","Lauderdale","AL","01077","=""01077""","95037","2019-2023","2022","Census","United States"
"County","Lawrence","AL","01079","=""01079""","33182","2019-2023","2022","Census","United States"
"County","Lee","AL","01081","=""01081""","177663","2019-2023","2022","Census","United States"
"County","Limestone","AL","01083","=""01083""","107577","2019-2023","2022","Census","United States"
"County","Lowndes","AL","01085","=""01085""","10008","2019-2023","2022","Census","United States"
"County","Macon","AL","01087","=""01087""","18951","2019-2023","2022","Census","United States"
"County","Madison","AL","01089","=""01089""","397135","2019-2023","2022","Census","United States"
"County","Marengo","AL","01091","=""01091""","19027","2019-2023","2022","Census","United States"
"County","Marion","AL","01093","=""01093""","29190","2019-2023","2022","Census","United States"
"County","Marshall","AL","01095","=""01095""","98712","2019-2023","2022","Census","United States"
"County","Mobile","AL","01097","=""01097""","413162","2019-2023","2022","Census","United States"
"County","Monroe","AL","01099","=""01099""","19580","2019-2023","2022","Census","United States"
"County","Montgomery","AL","01101","=""01101""","227197","2019-2023","2022","Census","United States"
"County","Morgan","AL","01103","=""01103""","123742","2019-2023","2022","Census","United States"
"County","Perry","AL","01105","=""01105""","8231","2019-2023","2022","Census","United States"
"County","Pickens","AL","01107","=""01107""","18843","2019-2023","2022","Census","United States"
"County","Pike","AL","01109","=""01109""","32953","2019-2023","2022","Census","United States"
"County","Randolph","AL","01111","=""01111""","22310","2019-2023","2022","Census","United States"
"County","Russell","AL","01113","=""01113""","58858","2019-2023","2022","Census","United States"
"County","St. Clair","AL","01115","=""01115""","92903","2019-2023","2022","Census","United States"
"County","Shelby","AL","01117","=""01117""","226955","2019-2023","2022","Census","United States"
"County","Sumter","AL","01119","=""01119""","12020","2019-2023","2022","Census","United States"
"County","Talladega","AL","01121","=""01121""","81170","2019-2023","2022","Census","United States"
"County","Tallapoosa","AL","01123","=""01123""","41070","2019-2023","2022","Census","United States"
"County","Tuscaloosa","AL","01125","=""01125""","234036","2019-2023","2022","Census","United States"
"County","Walker","AL","01127","=""01127""","64886","2019-2023","2022","Census","United States"
"County","Washington","AL","01129","=""01129""","15270","2019-2023","2022","Census","United States"
"County","Wilcox","AL","01131","=""01131""","10347","2019-2023","2022","Census","United States"
"County","Winston","AL","01133","=""01133""","23637","2019-2023","2022","Census","United States"
"County","Aleutians East","AK","02013","=""02013""","3423","2019-2023","2022","Census","United States"
"County","Aleutians West","AK","02016","=""02016""","5178","2019-2023","2022","Census","United States"
"County","Anchorage","AK","02020","=""02020""","289069","2019-2023","2022","Census","United States"
"County","Bethel","AK","02050","=""02050""","18487","2019-2023","2022","Census","United States"
"County","Bristol Bay","AK","02060","=""02060""","878","2019-2023","2022","Census","United States"
"County","Chugach","AK","02063","=""02063""","6964","2019-2023","2022","Census","United States"
"County","Copper River","AK","02066","=""02066""","2626","2019-2023","2022","Census","United States"
"County","Denali","AK","02068","=""02068""","2029","2019-2023","2022","Census","United States"
"County","Dillingham","AK","02070","=""02070""","4780","2019-2023","2022","Census","United States"
"County","Fairbanks North Star","AK","02090","=""02090""","95555","2019-2023","2022","Census","United States"
"County","Haines","AK","02100","=""02100""","2077","2019-2023","2022","Census","United States"
"County","Hoonah-Angoon","AK","02105","=""02105""","2313","2019-2023","2022","Census","United States"
"County","Juneau","AK","02110","=""02110""","31969","2019-2023","2022","Census","United States"
"County","Kenai Peninsula","AK","02122","=""02122""","59843","2019-2023","2022","Census","United States"
"County","Ketchikan Gateway","AK","02130","=""02130""","13870","2019-2023","2022","Census","United States"
"County","Kodiak Island","AK","02150","=""02150""","12878","2019-2023","2022","Census","United States"
"County","Kusilvak","AK","02158","=""02158""","8277","2019-2023","2022","Census","United States"
"County","Lake and Peninsula","AK","02164","=""02164""","1007","2019-2023","2022","Census","United States"
"County","Matanuska-Susitna","AK","02170","=""02170""","110677","2019-2023","2022","Census","United States"
"County","Nome","AK","02180","=""02180""","9925","2019-2023","2022","Census","United States"
"County","North Slope","AK","02185","=""02185""","10891","2019-2023","2022","Census","United States"
"County","Northwest Arctic","AK","02188","=""02188""","7611","2019-2023","2022","Census","United States"
"County","Petersburg","AK","02195","=""02195""","3394","2019-2023","2022","Census","United States"
"County","Prince of Wales-Hyder","AK","02198","=""02198""","5730","2019-2023","2022","Census","United States"
"County","Sitka","AK","02220","=""02220""","8393","2019-2023","2022","Census","United States"
"County","Skagway","AK","02230","=""02230""","1308","2019-2023","2022","Census","United States"
"County","Southeast Fairbanks","AK","02240","=""02240""","6936","2019-2023","2022","Census","United States"
"County","Wrangell","AK","02275","=""02275""","2106","2019-2023","2022","Census","United States"
"County","Yakutat","AK","02282","=""02282""","506","2019-2023","2022","Census","United States"
"County","Yukon-Koyukuk","AK","02290","=""02290""","5271","2019-2023","2022","Census","United States"
"County","Apache","AZ","04001","=""04001""","65680","2019-2023","2022","Census","United States"
"County","Cochise","AZ","04003","=""04003""","125458","2019-2023","2022","Census","United States"
"County","Coconino","AZ","04005","=""04005""","144643","2019-2023","2022","Census","United States"
"County","Gila","AZ","04007","=""04007""","53610","2019-2023","2022","Census","United States"
"County","Graham","AZ","04009","=""04009""","38860","2019-2023","2022","Census","United States"
"County","Greenlee","AZ","04011","=""04011""","9452","2019-2023","2022","Census","United States"
"County","La Paz","AZ","04012","=""04012""","16605","2019-2023","2022","Census","United States"
"County","Maricopa","AZ","04013","=""04013""","4491987","2019-2023","2022","Census","United States"
"County","Mohave","AZ","04015","=""04015""","217420","2019-2023","2022","Census","United States"
"County","Navajo","AZ","04017","=""04017""","107744","2019-2023","2022","Census","United States"
"County","Pima","AZ","04019","=""04019""","1049947","2019-2023","2022","Census","United States"
"County","Pinal","AZ","04021","=""04021""","449219","2019-2023","2022","Census","United States"
"County","Santa Cruz","AZ","04023","=""04023""","48209","2019-2023","2022","Census","United States"
"County","Yavapai","AZ","04025","=""04025""","241656","2019-2023","2022","Census","United States"
"County","Yuma","AZ","04027","=""04027""","207685","2019-2023","2022","Census","United States"
"County","Arkansas","AR","05001","=""05001""","16773","2019-2023","2022","Census","United States"
"County","Ashley","AR","05003","=""05003""","18722","2019-2023","2022","Census","United States"
"County","Baxter","AR","05005","=""05005""","42150","2019-2023","2022","Census","United States"
"County","Benton","AR","05007","=""05007""","294541","2019-2023","2022","Census","United States"
"County","Boone","AR","05009","=""05009""","37896","2019-2023","2022","Census","United States"
"County","Bradley","AR","05011","=""05011""","10354","2019-2023","2022","Census","United States"
"County","Calhoun","AR","05013","=""05013""","4717","2019-2023","2022","Census","United States"
"County","Carroll","AR","05015","=""05015""","28526","2019-2023","2022","Census","United States"
"County","Chicot","AR","05017","=""05017""","9997","2019-2023","2022","Census","United States"
"County","Clark","AR","05019","=""05019""","21378","2019-2023","2022","Census","United States"
"County","Clay","AR","05021","=""05021""","14399","2019-2023","2022","Census","United States"
"County","Cleburne","AR","05023","=""05023""","25048","2019-2023","2022","Census","United States"
"County","Cleveland","AR","05025","=""05025""","7491","2019-2023","2022","Census","United States"
"County","Columbia","AR","05027","=""05027""","22527","2019-2023","2022","Census","United States"
"County","Conway","AR","05029","=""05029""","20872","2019-2023","2022","Census","United States"
"County","Craighead","AR","05031","=""05031""","112097","2019-2023","2022","Census","United States"
"County","Crawford","AR","05033","=""05033""","60792","2019-2023","2022","Census","United States"
"County","Crittenden","AR","05035","=""05035""","47609","2019-2023","2022","Census","United States"
"County","Cross","AR","05037","=""05037""","16681","2019-2023","2022","Census","United States"
"County","Dallas","AR","05039","=""05039""","6351","2019-2023","2022","Census","United States"
"County","Desha","AR","05041","=""05041""","11041","2019-2023","2022","Census","United States"
"County","Drew","AR","05043","=""05043""","17143","2019-2023","2022","Census","United States"
"County","Faulkner","AR","05045","=""05045""","126001","2019-2023","2022","Census","United States"
"County","Franklin","AR","05047","=""05047""","17220","2019-2023","2022","Census","United States"
"County","Fulton","AR","05049","=""05049""","12239","2019-2023","2022","Census","United States"
"County","Garland","AR","05051","=""05051""","100062","2019-2023","2022","Census","United States"
"County","Grant","AR","05053","=""05053""","18111","2019-2023","2022","Census","United States"
"County","Greene","AR","05055","=""05055""","46182","2019-2023","2022","Census","United States"
"County","Hempstead","AR","05057","=""05057""","19778","2019-2023","2022","Census","United States"
"County","Hot Spring","AR","05059","=""05059""","33142","2019-2023","2022","Census","United States"
"County","Howard","AR","05061","=""05061""","12701","2019-2023","2022","Census","United States"
"County","Independence","AR","05063","=""05063""","38120","2019-2023","2022","Census","United States"
"County","Izard","AR","05065","=""05065""","13866","2019-2023","2022","Census","United States"
"County","Jackson","AR","05067","=""05067""","16775","2019-2023","2022","Census","United States"
"County","Jefferson","AR","05069","=""05069""","65780","2019-2023","2022","Census","United States"
"County","Johnson","AR","05071","=""05071""","25932","2019-2023","2022","Census","United States"
"County","Lafayette","AR","05073","=""05073""","6211","2019-2023","2022","Census","United States"
"County","Lawrence","AR","05075","=""05075""","16265","2019-2023","2022","Census","United States"
"County","Lee","AR","05077","=""05077""","8511","2019-2023","2022","Census","United States"
"County","Lincoln","AR","05079","=""05079""","12966","2019-2023","2022","Census","United States"
"County","Little River","AR","05081","=""05081""","11959","2019-2023","2022","Census","United States"
"County","Logan","AR","05083","=""05083""","21240","2019-2023","2022","Census","United States"
"County","Lonoke","AR","05085","=""05085""","74747","2019-2023","2022","Census","United States"
"County","Madison","AR","05087","=""05087""","17032","2019-2023","2022","Census","United States"
"County","Marion","AR","05089","=""05089""","17076","2019-2023","2022","Census","United States"
"County","Miller","AR","05091","=""05091""","42588","2019-2023","2022","Census","United States"
"County","Mississippi","AR","05093","=""05093""","39749","2019-2023","2022","Census","United States"
"County","Monroe","AR","05095","=""05095""","6681","2019-2023","2022","Census","United States"
"County","Montgomery","AR","05097","=""05097""","8571","2019-2023","2022","Census","United States"
"County","Nevada","AR","05099","=""05099""","8228","2019-2023","2022","Census","United States"
"County","Newton","AR","05101","=""05101""","7175","2019-2023","2022","Census","United States"
"County","Ouachita","AR","05103","=""05103""","22317","2019-2023","2022","Census","United States"
"County","Perry","AR","05105","=""05105""","10073","2019-2023","2022","Census","United States"
"County","Phillips","AR","05107","=""05107""","15910","2019-2023","2022","Census","United States"
"County","Pike","AR","05109","=""05109""","10182","2019-2023","2022","Census","United States"
"County","Poinsett","AR","05111","=""05111""","22740","2019-2023","2022","Census","United States"
"County","Polk","AR","05113","=""05113""","19348","2019-2023","2022","Census","United States"
"County","Pope","AR","05115","=""05115""","63830","2019-2023","2022","Census","United States"
"County","Prairie","AR","05117","=""05117""","8162","2019-2023","2022","Census","United States"
"County","Pulaski","AR","05119","=""05119""","398949","2019-2023","2022","Census","United States"
"County","Randolph","AR","05121","=""05121""","18733","2019-2023","2022","Census","United States"
"County","St. Francis","AR","05123","=""05123""","22740","2019-2023","2022","Census","United States"
"County","Saline","AR","05125","=""05125""","125724","2019-2023","2022","Census","United States"
"County","Scott","AR","05127","=""05127""","9839","2019-2023","2022","Census","United States"
"County","Searcy","AR","05129","=""05129""","7861","2019-2023","2022","Census","United States"
"County","Sebastian","AR","05131","=""05131""","128448","2019-2023","2022","Census","United States"
"County","Sevier","AR","05133","=""05133""","15797","2019-2023","2022","Census","United States"
"County","Sharp","AR","05135","=""05135""","17597","2019-2023","2022","Census","United States"
"County","Stone","AR","05137","=""05137""","12474","2019-2023","2022","Census","United States"
"County","Union","AR","05139","=""05139""","38368","2019-2023","2022","Census","United States"
"County","Van Buren","AR","05141","=""05141""","15936","2019-2023","2022","Census","United States"
"County","Washington","AR","05143","=""05143""","251863","2019-2023","2022","Census","United States"
"County","White","AR","05145","=""05145""","77395","2019-2023","2022","Census","United States"
"County","Woodruff","AR","05147","=""05147""","6157","2019-2023","2022","Census","United States"
"County","Yell","AR","05149","=""05149""","20195","2019-2023","2022","Census","United States"
"County","Alameda","CA","06001","=""06001""","1651949","2019-2023","2022","Census","United States"
"County","Alpine","CA","06003","=""06003""","1695","2019-2023","2022","Census","United States"
"County","Amador","CA","06005","=""06005""","41029","2019-2023","2022","Census","United States"
"County","Butte","CA","06007","=""06007""","209470","2019-2023","2022","Census","United States"
"County","Calaveras","CA","06009","=""06009""","45995","2019-2023","2022","Census","United States"
"County","Colusa","CA","06011","=""06011""","21895","2019-2023","2022","Census","United States"
"County","Contra Costa","CA","06013","=""06013""","1161458","2019-2023","2022","Census","United States"
"County","Del Norte","CA","06015","=""06015""","27293","2019-2023","2022","Census","United States"
"County","El Dorado","CA","06017","=""06017""","192299","2019-2023","2022","Census","United States"
"County","Fresno","CA","06019","=""06019""","1012152","2019-2023","2022","Census","United States"
"County","Glenn","CA","06021","=""06021""","28623","2019-2023","2022","Census","United States"
"County","Humboldt","CA","06023","=""06023""","135418","2019-2023","2022","Census","United States"
"County","Imperial","CA","06025","=""06025""","179319","2019-2023","2022","Census","United States"
"County","Inyo","CA","06027","=""06027""","18803","2019-2023","2022","Census","United States"
"County","Kern","CA","06029","=""06029""","910433","2019-2023","2022","Census","United States"
"County","Kings","CA","06031","=""06031""","152830","2019-2023","2022","Census","United States"
"County","Lake","CA","06033","=""06033""","68139","2019-2023","2022","Census","United States"
"County","Lassen","CA","06035","=""06035""","31177","2019-2023","2022","Census","United States"
"County","Los Angeles","CA","06037","=""06037""","9848406","2019-2023","2022","Census","United States"
"County","Madera","CA","06039","=""06039""","158790","2019-2023","2022","Census","United States"
"County","Marin","CA","06041","=""06041""","258765","2019-2023","2022","Census","United States"
"County","Mariposa","CA","06043","=""06043""","17060","2019-2023","2022","Census","United States"
"County","Mendocino","CA","06045","=""06045""","90709","2019-2023","2022","Census","United States"
"County","Merced","CA","06047","=""06047""","285597","2019-2023","2022","Census","United States"
"County","Modoc","CA","06049","=""06049""","8646","2019-2023","2022","Census","United States"
"County","Mono","CA","06051","=""06051""","13169","2019-2023","2022","Census","United States"
"County","Monterey","CA","06053","=""06053""","435834","2019-2023","2022","Census","United States"
"County","Napa","CA","06055","=""06055""","136070","2019-2023","2022","Census","United States"
"County","Nevada","CA","06057","=""06057""","102452","2019-2023","2022","Census","United States"
"County","Orange","CA","06059","=""06059""","3164063","2019-2023","2022","Census","United States"
"County","Placer","CA","06061","=""06061""","412435","2019-2023","2022","Census","United States"
"County","Plumas","CA","06063","=""06063""","19607","2019-2023","2022","Census","United States"
"County","Riverside","CA","06065","=""06065""","2449909","2019-2023","2022","Census","United States"
"County","Sacramento","CA","06067","=""06067""","1584047","2019-2023","2022","Census","United States"
"County","San Benito","CA","06069","=""06069""","66056","2019-2023","2022","Census","United States"
"County","San Bernardino","CA","06071","=""06071""","2187816","2019-2023","2022","Census","United States"
"County","San Diego","CA","06073","=""06073""","3282782","2019-2023","2022","Census","United States"
"County","San Francisco","CA","06075","=""06075""","836321","2019-2023","2022","Census","United States"
"County","San Joaquin","CA","06077","=""06077""","787416","2019-2023","2022","Census","United States"
"County","San Luis Obispo","CA","06079","=""06079""","281486","2019-2023","2022","Census","United States"
"County","San Mateo","CA","06081","=""06081""","745100","2019-2023","2022","Census","United States"
"County","Santa Barbara","CA","06083","=""06083""","443975","2019-2023","2022","Census","United States"
"County","Santa Clara","CA","06085","=""06085""","1903297","2019-2023","2022","Census","United States"
"County","Santa Cruz","CA","06087","=""06087""","266021","2019-2023","2022","Census","United States"
"County","Shasta","CA","06089","=""06089""","181554","2019-2023","2022","Census","United States"
"County","Sierra","CA","06091","=""06091""","2731","2019-2023","2022","Census","United States"
"County","Siskiyou","CA","06093","=""06093""","43834","2019-2023","2022","Census","United States"
"County","Solano","CA","06095","=""06095""","450824","2019-2023","2022","Census","United States"
"County","Sonoma","CA","06097","=""06097""","485642","2019-2023","2022","Census","United States"
"County","Stanislaus","CA","06099","=""06099""","552250","2019-2023","2022","Census","United States"
"County","Sutter","CA","06101","=""06101""","98971","2019-2023","2022","Census","United States"
"County","Tehama","CA","06103","=""06103""","65520","2019-2023","2022","Census","United States"
"County","Trinity","CA","06105","=""06105""","15886","2019-2023","2022","Census","United States"
"County","Tulare","CA","06107","=""06107""","475774","2019-2023","2022","Census","United States"
"County","Tuolumne","CA","06109","=""06109""","54873","2019-2023","2022","Census","United States"
"County","Ventura","CA","06111","=""06111""","838259","2019-2023","2022","Census","United States"
"County","Yolo","CA","06113","=""06113""","217782","2019-2023","2022","Census","United States"
"County","Yuba","CA","06115","=""06115""","83079","2019-2023","2022","Census","United States"
"County","Adams","CO","08001","=""08001""","524408","2019-2023","2022","Census","United States"
"County","Alamosa","CO","08003","=""08003""","16515","2019-2023","2022","Census","United States"
"County","Arapahoe","CO","08005","=""08005""","655709","2019-2023","2022","Census","United States"
"County","Archuleta","CO","08007","=""08007""","13730","2019-2023","2022","Census","United States"
"County","Baca","CO","08009","=""08009""","3460","2019-2023","2022","Census","United States"
"County","Bent","CO","08011","=""08011""","5524","2019-2023","2022","Census","United States"
"County","Boulder","CO","08013","=""08013""","328317","2019-2023","2022","Census","United States"
"County","Broomfield","CO","08014","=""08014""","75110","2019-2023","2022","Census","United States"
"County","Chaffee","CO","08015","=""08015""","19876","2019-2023","2022","Census","United States"
"County","Cheyenne","CO","08017","=""08017""","1732","2019-2023","2022","Census","United States"
"County","Clear Creek","CO","08019","=""08019""","9358","2019-2023","2022","Census","United States"
"County","Conejos","CO","08021","=""08021""","7536","2019-2023","2022","Census","United States"
"County","Costilla","CO","08023","=""08023""","3571","2019-2023","2022","Census","United States"
"County","Crowley","CO","08025","=""08025""","5734","2019-2023","2022","Census","United States"
"County","Custer","CO","08027","=""08027""","5073","2019-2023","2022","Census","United States"
"County","Delta","CO","08029","=""08029""","31353","2019-2023","2022","Census","United States"
"County","Denver","CO","08031","=""08031""","713734","2019-2023","2022","Census","United States"
"County","Dolores","CO","08033","=""08033""","2385","2019-2023","2022","Census","United States"
"County","Douglas","CO","08035","=""08035""","368283","2019-2023","2022","Census","United States"
"County","Eagle","CO","08037","=""08037""","55374","2019-2023","2022","Census","United States"
"County","Elbert","CO","08039","=""08039""","27152","2019-2023","2022","Census","United States"
"County","El Paso","CO","08041","=""08041""","736008","2019-2023","2022","Census","United States"
"County","Fremont","CO","08043","=""08043""","49394","2019-2023","2022","Census","United States"
"County","Garfield","CO","08045","=""08045""","62034","2019-2023","2022","Census","United States"
"County","Gilpin","CO","08047","=""08047""","5877","2019-2023","2022","Census","United States"
"County","Grand","CO","08049","=""08049""","15794","2019-2023","2022","Census","United States"
"County","Gunnison","CO","08051","=""08051""","17158","2019-2023","2022","Census","United States"
"County","Hinsdale","CO","08053","=""08053""","939","2019-2023","2022","Census","United States"
"County","Huerfano","CO","08055","=""08055""","6946","2019-2023","2022","Census","United States"
"County","Jackson","CO","08057","=""08057""","1422","2019-2023","2022","Census","United States"
"County","Jefferson","CO","08059","=""08059""","579715","2019-2023","2022","Census","United States"
"County","Kiowa","CO","08061","=""08061""","1356","2019-2023","2022","Census","United States"
"County","Kit Carson","CO","08063","=""08063""","7015","2019-2023","2022","Census","United States"
"County","Lake","CO","08065","=""08065""","7411","2019-2023","2022","Census","United States"
"County","La Plata","CO","08067","=""08067""","56088","2019-2023","2022","Census","United States"
"County","Larimer","CO","08069","=""08069""","363561","2019-2023","2022","Census","United States"
"County","Las Animas","CO","08071","=""08071""","14392","2019-2023","2022","Census","United States"
"County","Lincoln","CO","08073","=""08073""","5561","2019-2023","2022","Census","United States"
"County","Logan","CO","08075","=""08075""","21067","2019-2023","2022","Census","United States"
"County","Mesa","CO","08077","=""08077""","157316","2019-2023","2022","Census","United States"
"County","Mineral","CO","08079","=""08079""","799","2019-2023","2022","Census","United States"
"County","Moffat","CO","08081","=""08081""","13258","2019-2023","2022","Census","United States"
"County","Montezuma","CO","08083","=""08083""","26204","2019-2023","2022","Census","United States"
"County","Montrose","CO","08085","=""08085""","43272","2019-2023","2022","Census","United States"
"County","Morgan","CO","08087","=""08087""","29186","2019-2023","2022","Census","United States"
"County","Otero","CO","08089","=""08089""","18460","2019-2023","2022","Census","United States"
"County","Ouray","CO","08091","=""08091""","5024","2019-2023","2022","Census","United States"
"County","Park","CO","08093","=""08093""","17739","2019-2023","2022","Census","United States"
"County","Phillips","CO","08095","=""08095""","4491","2019-2023","2022","Census","United States"
"County","Pitkin","CO","08097","=""08097""","17119","2019-2023","2022","Census","United States"
"County","Prowers","CO","08099","=""08099""","11931","2019-2023","2022","Census","United States"
"County","Pueblo","CO","08101","=""08101""","168726","2019-2023","2022","Census","United States"
"County","Rio Blanco","CO","08103","=""08103""","6518","2019-2023","2022","Census","United States"
"County","Rio Grande","CO","08105","=""08105""","11394","2019-2023","2022","Census","United States"
"County","Routt","CO","08107","=""08107""","24990","2019-2023","2022","Census","United States"
"County","Saguache","CO","08109","=""08109""","6511","2019-2023","2022","Census","United States"
"County","San Juan","CO","08111","=""08111""","690","2019-2023","2022","Census","United States"
"County","San Miguel","CO","08113","=""08113""","8026","2019-2023","2022","Census","United States"
"County","Sedgwick","CO","08115","=""08115""","2346","2019-2023","2022","Census","United States"
"County","Summit","CO","08117","=""08117""","30857","2019-2023","2022","Census","United States"
"County","Teller","CO","08119","=""08119""","24774","2019-2023","2022","Census","United States"
"County","Washington","CO","08121","=""08121""","4839","2019-2023","2022","Census","United States"
"County","Weld","CO","08123","=""08123""","340711","2019-2023","2022","Census","United States"
"County","Yuma","CO","08125","=""08125""","9921","2019-2023","2022","Census","United States"
"County","Capitol","CT","09110","=""09110""","969029","2019-2023","2022","Census","United States"
"County","Greater Bridgeport","CT","09120","=""09120""","326296","2019-2023","2022","Census","United States"
"County","Lower Connecticut River Valley","CT","09130","=""09130""","174983","2019-2023","2022","Census","United States"
"County","Naugatuck Valley","CT","09140","=""09140""","452303","2019-2023","2022","Census","United States"
"County","Northeastern Connecticut","CT","09150","=""09150""","95829","2019-2023","2022","Census","United States"
"County","Northwest Hills","CT","09160","=""09160""","112848","2019-2023","2022","Census","United States"
"County","South Central Connecticut","CT","09170","=""09170""","566803","2019-2023","2022","Census","United States"
"County","Southeastern Connecticut","CT","09180","=""09180""","279025","2019-2023","2022","Census","United States"
"County","Western Connecticut","CT","09190","=""09190""","621232","2019-2023","2022","Census","United States"
"County","Kent","DE","10001","=""10001""","185043","2019-2023","2022","Census","United States"
"County","New Castle","DE","10003","=""10003""","573030","2019-2023","2022","Census","United States"
"County","Sussex","DE","10005","=""10005""","247799","2019-2023","2022","Census","United States"
"County","District of Columbia","DC","11001","=""11001""","672079","2019-2023","2022","Census","United States"
"County","Alachua","FL","12001","=""12001""","281751","2019-2023","2022","Census","United States"
"County","Baker","FL","12003","=""12003""","28186","2019-2023","2022","Census","United States"
"County","Bay","FL","12005","=""12005""","181368","2019-2023","2022","Census","United States"
"County","Bradford","FL","12007","=""12007""","27888","2019-2023","2022","Census","United States"
"County","Brevard","FL","12009","=""12009""","620533","2019-2023","2022","Census","United States"
"County","Broward","FL","12011","=""12011""","1946127","2019-2023","2022","Census","United States"
"County","Calhoun","FL","12013","=""12013""","13593","2019-2023","2022","Census","United States"
"County","Charlotte","FL","12015","=""12015""","195083","2019-2023","2022","Census","United States"
"County","Citrus","FL","12017","=""12017""","158693","2019-2023","2022","Census","United States"
"County","Clay","FL","12019","=""12019""","223436","2019-2023","2022","Census","United States"
"County","Collier","FL","12021","=""12021""","387681","2019-2023","2022","Census","United States"
"County","Columbia","FL","12023","=""12023""","70755","2019-2023","2022","Census","United States"
"County","DeSoto","FL","12027","=""12027""","34719","2019-2023","2022","Census","United States"
"County","Dixie","FL","12029","=""12029""","16952","2019-2023","2022","Census","United States"
"County","Duval","FL","12031","=""12031""","1007189","2019-2023","2022","Census","United States"
"County","Escambia","FL","12033","=""12033""","323275","2019-2023","2022","Census","United States"
"County","Flagler","FL","12035","=""12035""","121710","2019-2023","2022","Census","United States"
"County","Franklin","FL","12037","=""12037""","12418","2019-2023","2022","Census","United States"
"County","Gadsden","FL","12039","=""12039""","43642","2019-2023","2022","Census","United States"
"County","Gilchrist","FL","12041","=""12041""","18494","2019-2023","2022","Census","United States"
"County","Glades","FL","12043","=""12043""","12324","2019-2023","2022","Census","United States"
"County","Gulf","FL","12045","=""12045""","14772","2019-2023","2022","Census","United States"
"County","Hamilton","FL","12047","=""12047""","13445","2019-2023","2022","Census","United States"
"County","Hardee","FL","12049","=""12049""","25508","2019-2023","2022","Census","United States"
"County","Hendry","FL","12051","=""12051""","40798","2019-2023","2022","Census","United States"
"County","Hernando","FL","12053","=""12053""","201512","2019-2023","2022","Census","United States"
"County","Highlands","FL","12055","=""12055""","103808","2019-2023","2022","Census","United States"
"County","Hillsborough","FL","12057","=""12057""","1489634","2019-2023","2022","Census","United States"
"County","Holmes","FL","12059","=""12059""","19626","2019-2023","2022","Census","United States"
