Year,Age_Group,Category,Visits_Thousands,Visits_Millions
2006,45-54 years,All places,164692.0,164.692
2007,45-54 years,All places,170514.0,170.514
2008,45-54 years,All places,169674.0,169.674
2009,45-54 years,All places,190701.0,190.701
2010,45-54 years,All places,171039.0,171.039
2011,45-54 years,All places,173334.0,173.334
2000,55-64 years,All places,113661.0,113.661
2001,55-64 years,All places,135247.0,135.247
2002,55-64 years,All places,138756.0,138.756
2003,55-64 years,All places,137126.0,137.126
2004,55-64 years,All places,147712.0,147.712
2005,55-64 years,All places,157890.0,157.89
2006,55-64 years,All places,145975.0,145.975
2007,55-64 years,All places,163574.0,163.574
2008,55-64 years,All places,171921.0,171.921
2009,55-64 years,All places,184074.0,184.074
2010,55-64 years,All places,180962.0,180.962
2011,55-64 years,All places,180258.0,180.258
2000,65 years and over,All places,231014.0,231.014
2001,65 years and over,All places,279548.0,279.548
2002,65 years and over,All places,272919.0,272.919
2003,65 years and over,All places,258206.0,258.206
2004,65 years and over,All places,262734.0,262.734
2005,65 years and over,All places,278272.0,278.272
2006,65 years and over,All places,263649.0,263.649
2007,65 years and over,All places,289675.0,289.675
2008,65 years and over,All places,294054.0,294.054
2009,65 years and over,All places,314428.0,314.428
2010,65 years and over,All places,298362.0,298.362
2011,65 years and over,All places,298642.0,298.642
2000,65-74 years,All places,116505.0,116.505
2001,65-74 years,All places,136819.0,136.819
2002,65-74 years,All places,132116.0,132.116
2003,65-74 years,All places,120655.0,120.655
2004,65-74 years,All places,126802.0,126.802
2005,65-74 years,All places,133334.0,133.334
2006,65-74 years,All places,124089.0,124.089
2007,65-74 years,All places,142528.0,142.528
2008,65-74 years,All places,144878.0,144.878
2009,65-74 years,All places,153884.0,153.884
2010,65-74 years,All places,151075.0,151.075
2011,65-74 years,All places,151970.0,151.97
2000,75 years and over,All places,114510.0,114.51
2001,75 years and over,All places,142729.0,142.729
2002,75 years and over,All places,140802.0,140.802
2003,75 years and over,All places,137552.0,137.552
2004,75 years and over,All places,135931.0,135.931
2005,75 years and over,All places,144938.0,144.938
2006,75 years and over,All places,139560.0,139.56
2007,75 years and over,All places,147147.0,147.147
2008,75 years and over,All places,149177.0,149.177
2009,75 years and over,All places,160544.0,160.544
2010,75 years and over,All places,147287.0,147.287
2011,75 years and over,All places,146672.0,146.672
2000,All ages,All places,374.0,0.374
2001,All ages,All places,410.0,0.41
2002,All ages,All places,410.0,0.41
2003,All ages,All places,391.0,0.391
2004,All ages,All places,383.0,0.383
2005,All ages,All places,400.0,0.4
2006,All ages,All places,380.0,0.38
2007,All ages,All places,402.0,0.402
2008,All ages,All places,393.0,0.393
2009,All ages,All places,414.0,0.414
2010,All ages,All places,401.0,0.401
2011,All ages,All places,400.0,0.4
2000,All ages,All places,325.0,0.325
2001,All ages,All places,356.0,0.356
2002,All ages,All places,353.0,0.353
2003,All ages,All places,338.0,0.338
2004,All ages,All places,334.0,0.334
2005,All ages,All places,352.0,0.352
2006,All ages,All places,328.0,0.328
2007,All ages,All places,351.0,0.351
2008,All ages,All places,334.0,0.334
2009,All ages,All places,358.0,0.358
2010,All ages,All places,350.0,0.35
2011,All ages,All places,354.0,0.354
2000,All ages,All places,420.0,0.42
2001,All ages,All places,463.0,0.463
2002,All ages,All places,465.0,0.465
2003,All ages,All places,442.0,0.442
2004,All ages,All places,431.0,0.431
2005,All ages,All places,445.0,0.445
2006,All ages,All places,431.0,0.431
2007,All ages,All places,452.0,0.452
2008,All ages,All places,451.0,0.451
2009,All ages,All places,469.0,0.469
2010,All ages,All places,452.0,0.452
2011,All ages,All places,444.0,0.444
2000,All ages,All places,380.0,0.38
2001,All ages,All places,428.0,0.428
2002,All ages,All places,421.0,0.421
2003,All ages,All places,399.0,0.399
2004,All ages,All places,389.0,0.389
2005,All ages,All places,413.0,0.413
2006,All ages,All places,384.0,0.384
2007,All ages,All places,398.0,0.398
2008,All ages,All places,395.0,0.395
2009,All ages,All places,421.0,0.421
2010,All ages,All places,408.0,0.408
2011,All ages,All places,411.0,0.411
2000,All ages,All places,353.0,0.353
2001,All ages,All places,357.0,0.357
2002,All ages,All places,427.0,0.427
2003,All ages,All places,393.0,0.393
2004,All ages,All places,420.0,0.42
2005,All ages,All places,398.0,0.398
2006,All ages,All places,397.0,0.397
2007,All ages,All places,475.0,0.475
2008,All ages,All places,443.0,0.443
2009,All ages,All places,459.0,0.459
2010,All ages,All places,439.0,0.439
2011,All ages,All places,430.0,0.43
2000,All ages,All places,370.0,0.37
2001,All ages,All places,408.0,0.408
2002,All ages,All places,409.0,0.409
2003,All ages,All places,390.0,0.39
2004,All ages,All places,384.0,0.384
2005,All ages,All places,402.0,0.402
2006,All ages,All places,382.0,0.382
2007,All ages,All places,405.0,0.405
2008,All ages,All places,398.0,0.398
2009,All ages,All places,421.0,0.421
2010,All ages,All places,408.0,0.408
2011,All ages,All places,408.0,0.408
2000,Under 18 years,All places,293.0,0.293
2001,Under 18 years,All places,305.0,0.305
2002,Under 18 years,All places,328.0,0.328
2003,Under 18 years,All places,307.0,0.307
2004,Under 18 years,All places,302.0,0.302
2005,Under 18 years,All places,325.0,0.325
2006,Under 18 years,All places,315.0,0.315
2007,Under 18 years,All places,327.0,0.327
2008,Under 18 years,All places,306.0,0.306
2009,Under 18 years,All places,322.0,0.322
2010,Under 18 years,All places,331.0,0.331
2011,Under 18 years,All places,357.0,0.357
2000,18-44 years,All places,291.0,0.291
2001,18-44 years,All places,311.0,0.311
2002,18-44 years,All places,306.0,0.306
2003,18-44 years,All places,301.0,0.301
2004,18-44 years,All places,285.0,0.285
2005,18-44 years,All places,294.0,0.294
2006,18-44 years,All places,287.0,0.287
2007,18-44 years,All places,304.0,0.304
2008,18-44 years,All places,298.0,0.298
2009,18-44 years,All places,309.0,0.309
2010,18-44 years,All places,310.0,0.31
2011,18-44 years,All places,302.0,0.302
2000,45-64 years,All places,422.0,0.422
2001,45-64 years,All places,469.0,0.469
2002,45-64 years,All places,466.0,0.466
2003,45-64 years,All places,442.0,0.442
2004,45-64 years,All places,438.0,0.438
2005,45-64 years,All places,454.0,0.454
2006,45-64 years,All places,418.0,0.418
2007,45-64 years,All places,439.0,0.439
2008,45-64 years,All places,441.0,0.441
2009,45-64 years,All places,475.0,0.475
2010,45-64 years,All places,441.0,0.441
2011,45-64 years,All places,431.0,0.431
2000,45-54 years,All places,385.0,0.385
2001,45-54 years,All places,425.0,0.425
2002,45-54 years,All places,427.0,0.427
2003,45-54 years,All places,406.0,0.406
2004,45-54 years,All places,388.0,0.388
2005,45-54 years,All places,405.0,0.405
2006,45-54 years,All places,384.0,0.384
2007,45-54 years,All places,392.0,0.392
2008,45-54 years,All places,386.0,0.386
2009,45-54 years,All places,431.0,0.431
2010,45-54 years,All places,388.0,0.388
2011,45-54 years,All places,392.0,0.392
2000,55-64 years,All places,481.0,0.481
2001,55-64 years,All places,538.0,0.538
2002,55-64 years,All places,525.0,0.525
2003,55-64 years,All places,494.0,0.494
2004,55-64 years,All places,511.0,0.511
2005,55-64 years,All places,523.0,0.523
2006,55-64 years,All places,465.0,0.465
2007,55-64 years,All places,503.0,0.503
2008,55-64 years,All places,513.0,0.513
2009,55-64 years,All places,532.0,0.532
2010,55-64 years,All places,505.0,0.505
2011,55-64 years,All places,477.0,0.477
2000,65 years and over,All places,706.0,0.706
2001,65 years and over,All places,829.0,0.829
2002,65 years and over,All places,804.0,0.804
2003,65 years and over,All places,753.0,0.753
2004,65 years and over,All places,758.0,0.758
2005,65 years and over,All places,792.0,0.792
2006,65 years and over,All places,740.0,0.74
2007,65 years and over,All places,799.0,0.799
2008,65 years and over,All places,790.0,0.79
2009,65 years and over,All places,829.0,0.829
2010,65 years and over,All places,767.0,0.767
2011,65 years and over,All places,745.0,0.745
2000,65-74 years,All places,656.0,0.656
2001,65-74 years,All places,757.0,0.757
2002,65-74 years,All places,733.0,0.733
2003,65-74 years,All places,667.0,0.667
2004,65-74 years,All places,696.0,0.696
2005,65-74 years,All places,725.0,0.725
2006,65-74 years,All places,665.0,0.665
2007,65-74 years,All places,746.0,0.746
2008,65-74 years,All places,729.0,0.729
2009,65-74 years,All places,749.0,0.749
2010,65-74 years,All places,713.0,0.713
2011,65-74 years,All places,683.0,0.683
2000,75 years and over,All places,766.0,0.766
2001,75 years and over,All places,913.0,0.913
2002,75 years and over,All places,884.0,0.884
2003,75 years and over,All places,850.0,0.85
2004,75 years and over,All places,827.0,0.827
2005,75 years and over,All places,865.0,0.865
2006,75 years and over,All places,824.0,0.824
2007,75 years and over,All places,859.0,0.859
2008,75 years and over,All places,860.0,0.86
2009,75 years and over,All places,923.0,0.923
2010,75 years and over,All places,831.0,0.831
2011,75 years and over,All places,822.0,0.822
2000,All ages,All places,314.0,0.314
2001,All ages,All places,343.0,0.343
2002,All ages,All places,343.0,0.343
2003,All ages,All places,329.0,0.329
2004,All ages,All places,326.0,0.326
2005,All ages,All places,345.0,0.345
2006,All ages,All places,322.0,0.322
2007,All ages,All places,345.0,0.345
2008,All ages,All places,330.0,0.33
2009,All ages,All places,356.0,0.356
2010,All ages,All places,350.0,0.35
2011,All ages,All places,356.0,0.356
2000,All ages,All places,424.0,0.424
2001,All ages,All places,470.0,0.47
2002,All ages,All places,472.0,0.472
2003,All ages,All places,449.0,0.449
2004,All ages,All places,439.0,0.439
2005,All ages,All places,456.0,0.456
2006,All ages,All places,440.0,0.44
2007,All ages,All places,462.0,0.462
2008,All ages,All places,464.0,0.464
2009,All ages,All places,483.0,0.483
2010,All ages,All places,464.0,0.464
2011,All ages,All places,457.0,0.457
2000,Under 18 years,All places,302.0,0.302
2001,Under 18 years,All places,306.0,0.306
2002,Under 18 years,All places,329.0,0.329
2003,Under 18 years,All places,317.0,0.317
2004,Under 18 years,All places,307.0,0.307
2005,Under 18 years,All places,338.0,0.338
2006,Under 18 years,All places,309.0,0.309
2007,Under 18 years,All places,331.0,0.331
2008,Under 18 years,All places,307.0,0.307
2009,Under 18 years,All places,334.0,0.334
2010,Under 18 years,All places,340.0,0.34
2011,Under 18 years,All places,372.0,0.372
2000,18-44 years,All places,203.0,0.203
2001,18-44 years,All places,217.0,0.217
2002,18-44 years,All places,214.0,0.214
2003,18-44 years,All places,203.0,0.203
2004,18-44 years,All places,187.0,0.187
2005,18-44 years,All places,212.0,0.212
2006,18-44 years,All places,197.0,0.197
2007,18-44 years,All places,205.0,0.205
2008,18-44 years,All places,188.0,0.188
2009,18-44 years,All places,201.0,0.201
2010,18-44 years,All places,205.0,0.205
2011,18-44 years,All places,208.0,0.208
2000,45-54 years,All places,316.0,0.316
2001,45-54 years,All places,349.0,0.349
2002,45-54 years,All places,351.0,0.351
2003,45-54 years,All places,335.0,0.335
2004,45-54 years,All places,334.0,0.334
2005,45-54 years,All places,331.0,0.331
2006,45-54 years,All places,328.0,0.328
2007,45-54 years,All places,321.0,0.321
2008,45-54 years,All places,319.0,0.319
2009,45-54 years,All places,361.0,0.361
2010,45-54 years,All places,324.0,0.324
2011,45-54 years,All places,322.0,0.322
2000,55-64 years,All places,428.0,0.428
2001,55-64 years,All places,457.0,0.457
2002,55-64 years,All places,448.0,0.448
2003,55-64 years,All places,422.0,0.422
2004,55-64 years,All places,457.0,0.457
2005,55-64 years,All places,468.0,0.468
2006,55-64 years,All places,410.0,0.41
2007,55-64 years,All places,452.0,0.452
2008,55-64 years,All places,441.0,0.441
2009,55-64 years,All places,473.0,0.473
2010,55-64 years,All places,460.0,0.46
2011,55-64 years,All places,430.0,0.43
2000,65-74 years,All places,614.0,0.614
2001,65-74 years,All places,726.0,0.726
2002,65-74 years,All places,703.0,0.703
2003,65-74 years,All places,632.0,0.632
2004,65-74 years,All places,672.0,0.672
2005,65-74 years,All places,691.0,0.691
2006,65-74 years,All places,631.0,0.631
2007,65-74 years,All places,732.0,0.732
2008,65-74 years,All places,687.0,0.687
2009,65-74 years,All places,731.0,0.731
2010,65-74 years,All places,680.0,0.68
2011,65-74 years,All places,655.0,0.655
2000,75 years and over,All places,771.0,0.771
2001,75 years and over,All places,934.0,0.934
2002,75 years and over,All places,850.0,0.85
2003,75 years and over,All places,881.0,0.881
2004,75 years and over,All places,860.0,0.86
2005,75 years and over,All places,833.0,0.833
2006,75 years and over,All places,810.0,0.81
2007,75 years and over,All places,888.0,0.888
2008,75 years and over,All places,886.0,0.886
2009,75 years and over,All places,907.0,0.907
2010,75 years and over,All places,871.0,0.871
2011,75 years and over,All places,869.0,0.869
2000,Under 18 years,All places,285.0,0.285
2001,Under 18 years,All places,304.0,0.304
2002,Under 18 years,All places,327.0,0.327
2003,Under 18 years,All places,297.0,0.297
2004,Under 18 years,All places,296.0,0.296
2005,Under 18 years,All places,311.0,0.311
2006,Under 18 years,All places,321.0,0.321
2007,Under 18 years,All places,321.0,0.321
2008,Under 18 years,All places,304.0,0.304
2009,Under 18 years,All places,310.0,0.31
2010,Under 18 years,All places,322.0,0.322
2011,Under 18 years,All places,341.0,0.341
2000,18-44 years,All places,377.0,0.377
2001,18-44 years,All places,402.0,0.402
2002,18-44 years,All places,397.0,0.397
2003,18-44 years,All places,397.0,0.397
2004,18-44 years,All places,382.0,0.382
2005,18-44 years,All places,375.0,0.375
2006,18-44 years,All places,377.0,0.377
2007,18-44 years,All places,402.0,0.402
2008,18-44 years,All places,407.0,0.407
2009,18-44 years,All places,416.0,0.416
2010,18-44 years,All places,415.0,0.415
2011,18-44 years,All places,393.0,0.393
2000,45-54 years,All places,451.0,0.451
2001,45-54 years,All places,498.0,0.498
2002,45-54 years,All places,500.0,0.5
2003,45-54 years,All places,475.0,0.475
2004,45-54 years,All places,439.0,0.439
2005,45-54 years,All places,476.0,0.476
2006,45-54 years,All places,437.0,0.437
2007,45-54 years,All places,460.0,0.46
2008,45-54 years,All places,450.0,0.45
2009,45-54 years,All places,499.0,0.499
2010,45-54 years,All places,450.0,0.45
2011,45-54 years,All places,459.0,0.459
2000,55-64 years,All places,529.0,0.529
2001,55-64 years,All places,612.0,0.612
2002,55-64 years,All places,596.0,0.596
2003,55-64 years,All places,561.0,0.561
2004,55-64 years,All places,561.0,0.561
2005,55-64 years,All places,574.0,0.574
2006,55-64 years,All places,515.0,0.515
2007,55-64 years,All places,550.0,0.55
2008,55-64 years,All places,580.0,0.58
2009,55-64 years,All places,586.0,0.586
2010,55-64 years,All places,546.0,0.546
2011,55-64 years,All places,520.0,0.52
2000,65-74 years,All places,692.0,0.692
2001,65-74 years,All places,782.0,0.782
2002,65-74 years,All places,757.0,0.757
2003,65-74 years,All places,696.0,0.696
2004,65-74 years,All places,717.0,0.717
2005,65-74 years,All places,754.0,0.754
2006,65-74 years,All places,693.0,0.693
2007,65-74 years,All places,758.0,0.758
2008,65-74 years,All places,765.0,0.765
2009,65-74 years,All places,764.0,0.764
2010,65-74 years,All places,741.0,0.741
2011,65-74 years,All places,707.0,0.707
2000,75 years and over,All places,763.0,0.763
2001,75 years and over,All places,900.0,0.9
2002,75 years and over,All places,905.0,0.905
2003,75 years and over,All places,830.0,0.83
2004,75 years and over,All places,806.0,0.806
2005,75 years and over,All places,886.0,0.886
2006,75 years and over,All places,832.0,0.832
2007,75 years and over,All places,840.0,0.84
2008,75 years and over,All places,843.0,0.843
2009,75 years and over,All places,934.0,0.934
2010,75 years and over,All places,804.0,0.804
2011,75 years and over,All places,790.0,0.79
2000,All ages,All places,381.0,0.381
2001,All ages,All places,433.0,0.433
2002,All ages,All places,426.0,0.426
2003,All ages,All places,404.0,0.404
2004,All ages,All places,396.0,0.396
2005,All ages,All places,420.0,0.42
2006,All ages,All places,391.0,0.391
2007,All ages,All places,407.0,0.407
2008,All ages,All places,406.0,0.406
2009,All ages,All places,434.0,0.434
2010,All ages,All places,421.0,0.421
2011,All ages,All places,424.0,0.424
2000,All ages,All places,324.0,0.324
2001,All ages,All places,329.0,0.329
2002,All ages,All places,392.0,0.392
2003,All ages,All places,365.0,0.365
2004,All ages,All places,391.0,0.391
2005,All ages,All places,369.0,0.369
2006,All ages,All places,379.0,0.379
2007,All ages,All places,450.0,0.45
2008,All ages,All places,421.0,0.421
2009,All ages,All places,438.0,0.438
2010,All ages,All places,425.0,0.425
2011,All ages,All places,416.0,0.416
2000,Under 18 years,All places,306.0,0.306
2001,Under 18 years,All places,330.0,0.33
2002,Under 18 years,All places,346.0,0.346
2003,Under 18 years,All places,330.0,0.33
2004,Under 18 years,All places,320.0,0.32
2005,Under 18 years,All places,348.0,0.348
2006,Under 18 years,All places,325.0,0.325
2007,Under 18 years,All places,330.0,0.33
2008,Under 18 years,All places,312.0,0.312
2009,Under 18 years,All places,339.0,0.339
2010,Under 18 years,All places,341.0,0.341
2011,Under 18 years,All places,397.0,0.397
2000,18-44 years,All places,301.0,0.301
2001,18-44 years,All places,327.0,0.327
2002,18-44 years,All places,317.0,0.317
2003,18-44 years,All places,308.0,0.308
2004,18-44 years,All places,289.0,0.289
2005,18-44 years,All places,306.0,0.306
2006,18-44 years,All places,292.0,0.292
2007,18-44 years,All places,298.0,0.298
2008,18-44 years,All places,299.0,0.299
2009,18-44 years,All places,312.0,0.312
2010,18-44 years,All places,319.0,0.319
2011,18-44 years,All places,312.0,0.312
2000,45-54 years,All places,386.0,0.386
2001,45-54 years,All places,434.0,0.434
2002,45-54 years,All places,439.0,0.439
2003,45-54 years,All places,409.0,0.409
2004,45-54 years,All places,391.0,0.391
2005,45-54 years,All places,416.0,0.416
2006,45-54 years,All places,379.0,0.379
2007,45-54 years,All places,381.0,0.381
2008,45-54 years,All places,387.0,0.387
2009,45-54 years,All places,432.0,0.432
2010,45-54 years,All places,389.0,0.389
2011,45-54 years,All places,378.0,0.378
2000,55-64 years,All places,480.0,0.48
2001,55-64 years,All places,552.0,0.552
2002,55-64 years,All places,534.0,0.534
2003,55-64 years,All places,500.0,0.5
2004,55-64 years,All places,514.0,0.514
2005,55-64 years,All places,534.0,0.534
2006,55-64 years,All places,465.0,0.465
2007,55-64 years,All places,498.0,0.498
2008,55-64 years,All places,512.0,0.512
2009,55-64 years,All places,531.0,0.531
2010,55-64 years,All places,505.0,0.505
2011,55-64 years,All places,474.0,0.474
2000,65-74 years,All places,641.0,0.641
2001,65-74 years,All places,778.0,0.778
2002,65-74 years,All places,734.0,0.734
2003,65-74 years,All places,653.0,0.653
2004,65-74 years,All places,685.0,0.685
2005,65-74 years,All places,727.0,0.727
2006,65-74 years,All places,672.0,0.672
2007,65-74 years,All places,735.0,0.735
2008,65-74 years,All places,729.0,0.729
2009,65-74 years,All places,752.0,0.752
2010,65-74 years,All places,727.0,0.727
2011,65-74 years,All places,677.0,0.677
2000,75 years and over,All places,764.0,0.764
2001,75 years and over,All places,938.0,0.938
2002,75 years and over,All places,880.0,0.88
2003,75 years and over,All places,844.0,0.844
2004,75 years and over,All places,832.0,0.832
2005,75 years and over,All places,854.0,0.854
2006,75 years and over,All places,820.0,0.82
2007,75 years and over,All places,856.0,0.856
2008,75 years and over,All places,855.0,0.855
2009,75 years and over,All places,936.0,0.936
2010,75 years and over,All places,838.0,0.838
2011,75 years and over,All places,815.0,0.815
2000,Under 18 years,All places,264.0,0.264
2001,Under 18 years,All places,210.0,0.21
2002,Under 18 years,All places,307.0,0.307
2003,Under 18 years,All places,248.0,0.248
2004,Under 18 years,All places,267.0,0.267
2005,Under 18 years,All places,278.0,0.278
2006,Under 18 years,All places,299.0,0.299
2007,Under 18 years,All places,351.0,0.351
2008,Under 18 years,All places,335.0,0.335
2009,Under 18 years,All places,315.0,0.315
2010,Under 18 years,All places,351.0,0.351
2011,Under 18 years,All places,275.0,0.275
2000,18-44 years,All places,257.0,0.257
2001,18-44 years,All places,291.0,0.291
2002,18-44 years,All places,316.0,0.316
2003,18-44 years,All places,329.0,0.329
2004,18-44 years,All places,336.0,0.336
2005,18-44 years,All places,295.0,0.295
2006,18-44 years,All places,331.0,0.331
2007,18-44 years,All places,380.0,0.38
2008,18-44 years,All places,343.0,0.343
2009,18-44 years,All places,373.0,0.373
2010,18-44 years,All places,339.0,0.339
2011,18-44 years,All places,350.0,0.35
2009,All ages,Physician offices,1037796.0,1037.796
2000,45-54 years,All places,383.0,0.383
2001,45-54 years,All places,454.0,0.454
2002,45-54 years,All places,422.0,0.422
2003,45-54 years,All places,445.0,0.445
2004,45-54 years,All places,453.0,0.453
2005,45-54 years,All places,422.0,0.422
2006,45-54 years,All places,438.0,0.438
2007,45-54 years,All places,490.0,0.49
2008,45-54 years,All places,445.0,0.445
2009,45-54 years,All places,486.0,0.486
2010,45-54 years,All places,466.0,0.466
2011,45-54 years,All places,550.0,0.55
2000,55-64 years,All places,495.0,0.495
2001,55-64 years,All places,519.0,0.519
2002,55-64 years,All places,563.0,0.563
2003,55-64 years,All places,487.0,0.487
2004,55-64 years,All places,596.0,0.596
2005,55-64 years,All places,515.0,0.515
2006,55-64 years,All places,515.0,0.515
2007,55-64 years,All places,592.0,0.592
2008,55-64 years,All places,589.0,0.589
2009,55-64 years,All places,645.0,0.645
2010,55-64 years,All places,617.0,0.617
2011,55-64 years,All places,566.0,0.566
2000,65-74 years,All places,656.0,0.656
2001,65-74 years,All places,633.0,0.633
2002,65-74 years,All places,842.0,0.842
2003,65-74 years,All places,761.0,0.761
2004,65-74 years,All places,847.0,0.847
2005,65-74 years,All places,745.0,0.745
2006,65-74 years,All places,615.0,0.615
2007,65-74 years,All places,900.0,0.9
2008,65-74 years,All places,809.0,0.809
2009,65-74 years,All places,821.0,0.821
2010,65-74 years,All places,715.0,0.715
2011,65-74 years,All places,733.0,0.733
2000,75 years and over,All places,745.0,0.745
2001,75 years and over,All places,676.0,0.676
2002,75 years and over,All places,1019.0,1.019
2003,75 years and over,All places,774.0,0.774
2004,75 years and over,All places,833.0,0.833
2005,75 years and over,All places,982.0,0.982
2006,75 years and over,All places,744.0,0.744
2007,75 years and over,All places,966.0,0.966
2008,75 years and over,All places,942.0,0.942
2009,75 years and over,All places,908.0,0.908
2010,75 years and over,All places,845.0,0.845
2011,75 years and over,All places,821.0,0.821
2000,All ages,Physician offices,823542.0,823.542
2001,All ages,Physician offices,951214.0,951.214
2002,All ages,Physician offices,964304.0,964.304
2003,All ages,Physician offices,906023.0,906.023
2004,All ages,Physician offices,910857.0,910.857
2005,All ages,Physician offices,963617.0,963.617
2006,All ages,Physician offices,901954.0,901.954
2007,All ages,Physician offices,994321.0,994.321
2008,All ages,Physician offices,955969.0,955.969
2010,All ages,Physician offices,1008802.0,1008.802
2011,All ages,Physician offices,987029.0,987.029
2012,All ages,Physician offices,928630.0,928.63
2013,All ages,Physician offices,922596.0,922.596
2014,All ages,Physician offices,884707.0,884.707
2015,All ages,Physician offices,990808.0,990.808
2016,All ages,Physician offices,883725.0,883.725
2018,All ages,Physician offices,860386.0,860.386
2000,Under 18 years,Physician offices,163459.0,163.459
2001,Under 18 years,Physician offices,173383.0,173.383
2002,Under 18 years,Physician offices,188933.0,188.933
2003,Under 18 years,Physician offices,169392.0,169.392
2004,Under 18 years,Physician offices,171459.0,171.459
2005,Under 18 years,Physician offices,185186.0,185.186
2006,Under 18 years,Physician offices,181560.0,181.56
2007,Under 18 years,Physician offices,194959.0,194.959
2008,Under 18 years,Physician offices,171744.0,171.744
2009,Under 18 years,Physician offices,183999.0,183.999
2010,Under 18 years,Physician offices,191500.0,191.5
2011,Under 18 years,Physician offices,206285.0,206.285
2012,Under 18 years,Physician offices,171045.0,171.045
2013,Under 18 years,Physician offices,151036.0,151.036
2014,Under 18 years,Physician offices,138814.0,138.814
2015,Under 18 years,Physician offices,149556.0,149.556
2016,Under 18 years,Physician offices,177481.0,177.481
2018,Under 18 years,Physician offices,128781.0,128.781
2000,18-44 years,Physician offices,243011.0,243.011
2001,18-44 years,Physician offices,267844.0,267.844
2002,18-44 years,Physician offices,263672.0,263.672
2003,18-44 years,Physician offices,251853.0,251.853
2004,18-44 years,Physician offices,241305.0,241.305
2005,18-44 years,Physician offices,247568.0,247.568
2006,18-44 years,Physician offices,234063.0,234.063
2007,18-44 years,Physician offices,257257.0,257.257
2008,18-44 years,Physician offices,243979.0,243.979
2009,18-44 years,Physician offices,257890.0,257.89
2010,18-44 years,Physician offices,261941.0,261.941
2011,18-44 years,Physician offices,239224.0,239.224
2012,18-44 years,Physician offices,234645.0,234.645
2013,18-44 years,Physician offices,224256.0,224.256
2014,18-44 years,Physician offices,207951.0,207.951
2015,18-44 years,Physician offices,230511.0,230.511
2016,18-44 years,Physician offices,215191.0,215.191
2018,18-44 years,Physician offices,198673.0,198.673
2000,45-64 years,Physician offices,216783.0,216.783
2001,45-64 years,Physician offices,259718.0,259.718
2002,45-64 years,Physician offices,267249.0,267.249
2003,45-64 years,Physician offices,257258.0,257.258
2004,45-64 years,Physician offices,264103.0,264.103
2005,45-64 years,Physician offices,283180.0,283.18
2006,45-64 years,Physician offices,256494.0,256.494
2007,45-64 years,Physician offices,283890.0,283.89
2008,45-64 years,Physician offices,284110.0,284.11
2009,45-64 years,Physician offices,316395.0,316.395
2010,45-64 years,Physician offices,296385.0,296.385
2011,45-64 years,Physician offices,285784.0,285.784
2012,45-64 years,Physician offices,275307.0,275.307
2013,45-64 years,Physician offices,282109.0,282.109
2014,45-64 years,Physician offices,273423.0,273.423
2015,45-64 years,Physician offices,305071.0,305.071
2016,45-64 years,Physician offices,252037.0,252.037
2018,45-64 years,Physician offices,251488.0,251.488
2000,45-54 years,Physician offices,119474.0,119.474
