Geography_Type_Description,Geography_Name,Sits_in_State,GeoID,Median_Household_Income,Data_Time_Period
County,North Slope,AK,2185,86313.0,2019-2023
County,Northwest Arctic,AK,2188,81298.0,2019-2023
County,Petersburg,AK,2195,77026.0,2019-2023
County,Prince of Wales-Hyder,AK,2198,59079.0,2019-2023
County,Sitka,AK,2220,101207.0,2019-2023
County,Skagway,AK,2230,78594.0,2019-2023
County,Southeast Fairbanks,AK,2240,74223.0,2019-2023
County,Wrangell,AK,2275,64545.0,2019-2023
County,Yakutat,AK,2282,80625.0,2019-2023
County,Yukon-Koyukuk,AK,2290,52642.0,2019-2023
County,Apache,AZ,4001,40338.0,2019-2023
County,Cochise,AZ,4003,58970.0,2019-2023
County,Coconino,AZ,4005,69748.0,2019-2023
County,Gila,AZ,4007,59089.0,2019-2023
County,Graham,AZ,4009,67326.0,2019-2023
County,Greenlee,AZ,4011,75239.0,2019-2023
County,La Paz,AZ,4012,49506.0,2019-2023
County,Maricopa,AZ,4013,85518.0,2019-2023
County,Mohave,AZ,4015,55799.0,2019-2023
County,Navajo,AZ,4017,52752.0,2019-2023
County,Pima,AZ,4019,67929.0,2019-2023
County,Pinal,AZ,4021,77588.0,2019-2023
County,Santa Cruz,AZ,4023,53614.0,2019-2023
County,Yavapai,AZ,4025,66106.0,2019-2023
County,Yuma,AZ,4027,60417.0,2019-2023
County,Arkansas,AR,5001,60831.0,2019-2023
County,Ashley,AR,5003,44481.0,2019-2023
County,Baxter,AR,5005,48427.0,2019-2023
County,Benton,AR,5007,89879.0,2019-2023
County,Boone,AR,5009,54195.0,2019-2023
County,Bradley,AR,5011,39565.0,2019-2023
County,Calhoun,AR,5013,63654.0,2019-2023
County,Carroll,AR,5015,55187.0,2019-2023
County,Chicot,AR,5017,39683.0,2019-2023
County,Clark,AR,5019,50985.0,2019-2023
County,Clay,AR,5021,48500.0,2019-2023
County,Cleburne,AR,5023,55979.0,2019-2023
County,Cleveland,AR,5025,50509.0,2019-2023
County,Columbia,AR,5027,47363.0,2019-2023
County,Conway,AR,5029,51212.0,2019-2023
County,Craighead,AR,5031,57615.0,2019-2023
County,Crawford,AR,5033,60362.0,2019-2023
County,Crittenden,AR,5035,54271.0,2019-2023
County,Cross,AR,5037,47012.0,2019-2023
County,Dallas,AR,5039,44694.0,2019-2023
County,Desha,AR,5041,36064.0,2019-2023
County,Drew,AR,5043,41071.0,2019-2023
County,Faulkner,AR,5045,65071.0,2019-2023
County,Franklin,AR,5047,51919.0,2019-2023
County,Fulton,AR,5049,38941.0,2019-2023
County,Garland,AR,5051,55409.0,2019-2023
County,Grant,AR,5053,72512.0,2019-2023
County,Greene,AR,5055,56793.0,2019-2023
County,Hempstead,AR,5057,47654.0,2019-2023
County,Hot Spring,AR,5059,52644.0,2019-2023
County,Howard,AR,5061,44492.0,2019-2023
County,Independence,AR,5063,56009.0,2019-2023
County,Izard,AR,5065,47728.0,2019-2023
County,Jackson,AR,5067,41215.0,2019-2023
County,Jefferson,AR,5069,48552.0,2019-2023
County,Johnson,AR,5071,44808.0,2019-2023
County,Lafayette,AR,5073,37237.0,2019-2023
County,Lawrence,AR,5075,44164.0,2019-2023
County,Lee,AR,5077,36860.0,2019-2023
County,Lincoln,AR,5079,51667.0,2019-2023
County,Little River,AR,5081,52241.0,2019-2023
County,Logan,AR,5083,54237.0,2019-2023
County,Lonoke,AR,5085,71449.0,2019-2023
County,Madison,AR,5087,53888.0,2019-2023
County,Marion,AR,5089,46953.0,2019-2023
County,Miller,AR,5091,49983.0,2019-2023
County,Mississippi,AR,5093,53428.0,2019-2023
County,Monroe,AR,5095,43955.0,2019-2023
County,Montgomery,AR,5097,49015.0,2019-2023
County,Nevada,AR,5099,41761.0,2019-2023
County,Newton,AR,5101,47395.0,2019-2023
County,Ouachita,AR,5103,49838.0,2019-2023
County,Perry,AR,5105,60078.0,2019-2023
County,Phillips,AR,5107,38874.0,2019-2023
County,Pike,AR,5109,51000.0,2019-2023
County,Poinsett,AR,5111,47188.0,2019-2023
County,Polk,AR,5113,49252.0,2019-2023
County,Pope,AR,5115,54606.0,2019-2023
County,Prairie,AR,5117,51094.0,2019-2023
County,Pulaski,AR,5119,60385.0,2019-2023
County,Randolph,AR,5121,52838.0,2019-2023
County,St. Francis,AR,5123,41784.0,2019-2023
County,Saline,AR,5125,76534.0,2019-2023
County,Scott,AR,5127,45955.0,2019-2023
County,Searcy,AR,5129,41978.0,2019-2023
County,Sebastian,AR,5131,56450.0,2019-2023
County,Sevier,AR,5133,51641.0,2019-2023
County,Sharp,AR,5135,42950.0,2019-2023
County,Stone,AR,5137,38531.0,2019-2023
County,Union,AR,5139,50221.0,2019-2023
County,Van Buren,AR,5141,47266.0,2019-2023
County,Washington,AR,5143,66426.0,2019-2023
County,White,AR,5145,53435.0,2019-2023
County,Woodruff,AR,5147,49982.0,2019-2023
County,Yell,AR,5149,58870.0,2019-2023
County,Alameda,CA,6001,126240.0,2019-2023
County,Alpine,CA,6003,110781.0,2019-2023
County,Amador,CA,6005,81526.0,2019-2023
County,Butte,CA,6007,68574.0,2019-2023
County,Calaveras,CA,6009,79877.0,2019-2023
County,Colusa,CA,6011,75149.0,2019-2023
County,Contra Costa,CA,6013,125727.0,2019-2023
County,Del Norte,CA,6015,66780.0,2019-2023
County,El Dorado,CA,6017,106190.0,2019-2023
County,Fresno,CA,6019,71434.0,2019-2023
County,Glenn,CA,6021,70487.0,2019-2023
County,Humboldt,CA,6023,61135.0,2019-2023
County,Imperial,CA,6025,56393.0,2019-2023
County,Inyo,CA,6027,72432.0,2019-2023
County,Kern,CA,6029,67660.0,2019-2023
County,Kings,CA,6031,68750.0,2019-2023
County,Lake,CA,6033,58738.0,2019-2023
County,Lassen,CA,6035,64395.0,2019-2023
County,Los Angeles,CA,6037,87760.0,2019-2023
County,Madera,CA,6039,75496.0,2019-2023
County,Marin,CA,6041,142785.0,2019-2023
County,Mariposa,CA,6043,65378.0,2019-2023
County,Mendocino,CA,6045,64688.0,2019-2023
County,Merced,CA,6047,65044.0,2019-2023
County,Modoc,CA,6049,56648.0,2019-2023
County,Mono,CA,6051,86953.0,2019-2023
County,Monterey,CA,6053,94486.0,2019-2023
County,Napa,CA,6055,108970.0,2019-2023
County,Nevada,CA,6057,84905.0,2019-2023
County,Orange,CA,6059,113702.0,2019-2023
County,Placer,CA,6061,114678.0,2019-2023
County,Plumas,CA,6063,64946.0,2019-2023
County,Riverside,CA,6065,89672.0,2019-2023
County,Sacramento,CA,6067,88724.0,2019-2023
County,San Benito,CA,6069,108289.0,2019-2023
County,San Bernardino,CA,6071,82184.0,2019-2023
County,San Diego,CA,6073,102285.0,2019-2023
County,San Francisco,CA,6075,141446.0,2019-2023
County,San Joaquin,CA,6077,88531.0,2019-2023
County,San Luis Obispo,CA,6079,93398.0,2019-2023
County,San Mateo,CA,6081,156000.0,2019-2023
County,Santa Barbara,CA,6083,95977.0,2019-2023
County,Santa Clara,CA,6085,159674.0,2019-2023
County,Santa Cruz,CA,6087,109266.0,2019-2023
County,Shasta,CA,6089,71931.0,2019-2023
County,Sierra,CA,6091,60000.0,2019-2023
County,Siskiyou,CA,6093,55499.0,2019-2023
County,Solano,CA,6095,99994.0,2019-2023
County,Sonoma,CA,6097,102840.0,2019-2023
County,Stanislaus,CA,6099,79661.0,2019-2023
County,Sutter,CA,6101,75450.0,2019-2023
County,Tehama,CA,6103,61834.0,2019-2023
County,Trinity,CA,6105,53498.0,2019-2023
County,Tulare,CA,6107,69489.0,2019-2023
County,Tuolumne,CA,6109,72259.0,2019-2023
County,Ventura,CA,6111,107327.0,2019-2023
County,Yolo,CA,6113,88818.0,2019-2023
County,Yuba,CA,6115,73313.0,2019-2023
County,Adams,CO,8001,91387.0,2019-2023
County,Alamosa,CO,8003,51445.0,2019-2023
County,Arapahoe,CO,8005,97215.0,2019-2023
County,Archuleta,CO,8007,76524.0,2019-2023
County,Baca,CO,8009,40380.0,2019-2023
County,Bent,CO,8011,49194.0,2019-2023
County,Boulder,CO,8013,102772.0,2019-2023
County,Broomfield,CO,8014,121025.0,2019-2023
County,Chaffee,CO,8015,70909.0,2019-2023
County,Cheyenne,CO,8017,67768.0,2019-2023
County,Clear Creek,CO,8019,96667.0,2019-2023
County,Conejos,CO,8021,47209.0,2019-2023
County,Costilla,CO,8023,36519.0,2019-2023
County,Crowley,CO,8025,47563.0,2019-2023
County,Custer,CO,8027,72700.0,2019-2023
County,Delta,CO,8029,58330.0,2019-2023
County,Denver,CO,8031,91681.0,2019-2023
County,Dolores,CO,8033,70490.0,2019-2023
County,Douglas,CO,8035,145737.0,2019-2023
County,Eagle,CO,8037,103174.0,2019-2023
County,Elbert,CO,8039,129477.0,2019-2023
County,El Paso,CO,8041,87470.0,2019-2023
County,Fremont,CO,8043,61027.0,2019-2023
County,Garfield,CO,8045,86172.0,2019-2023
County,Gilpin,CO,8047,88654.0,2019-2023
County,Grand,CO,8049,84558.0,2019-2023
County,Gunnison,CO,8051,77358.0,2019-2023
County,Hinsdale,CO,8053,64327.0,2019-2023
County,Huerfano,CO,8055,52139.0,2019-2023
County,Jackson,CO,8057,41809.0,2019-2023
County,Jefferson,CO,8059,107800.0,2019-2023
County,Kiowa,CO,8061,56389.0,2019-2023
County,Kit Carson,CO,8063,59810.0,2019-2023
County,Lake,CO,8065,93655.0,2019-2023
County,La Plata,CO,8067,85296.0,2019-2023
County,Larimer,CO,8069,91364.0,2019-2023
County,Las Animas,CO,8071,50408.0,2019-2023
County,Lincoln,CO,8073,54257.0,2019-2023
County,Logan,CO,8075,55074.0,2019-2023
County,Mesa,CO,8077,71485.0,2019-2023
County,Mineral,CO,8079,52455.0,2019-2023
County,Moffat,CO,8081,70975.0,2019-2023
County,Montezuma,CO,8083,63005.0,2019-2023
County,Montrose,CO,8085,66072.0,2019-2023
County,Morgan,CO,8087,75407.0,2019-2023
County,Otero,CO,8089,54897.0,2019-2023
County,Ouray,CO,8091,84556.0,2019-2023
County,Park,CO,8093,95450.0,2019-2023
County,Phillips,CO,8095,60372.0,2019-2023
County,Pitkin,CO,8097,100318.0,2019-2023
County,Prowers,CO,8099,57601.0,2019-2023
County,Pueblo,CO,8101,62250.0,2019-2023
County,Rio Blanco,CO,8103,72620.0,2019-2023
County,Rio Grande,CO,8105,62166.0,2019-2023
County,Routt,CO,8107,104803.0,2019-2023
County,Saguache,CO,8109,54283.0,2019-2023
County,San Juan,CO,8111,73889.0,2019-2023
County,San Miguel,CO,8113,80117.0,2019-2023
County,Sedgwick,CO,8115,52833.0,2019-2023
County,Summit,CO,8117,106255.0,2019-2023
County,Teller,CO,8119,80666.0,2019-2023
County,Washington,CO,8121,65164.0,2019-2023
County,Weld,CO,8123,93287.0,2019-2023
County,Yuma,CO,8125,60051.0,2019-2023
County,Capitol,CT,9110,91541.0,2019-2023
County,Greater Bridgeport,CT,9120,87135.0,2019-2023
County,Lower Connecticut River Valley,CT,9130,101117.0,2019-2023
County,Naugatuck Valley,CT,9140,86365.0,2019-2023
County,Northeastern Connecticut,CT,9150,87564.0,2019-2023
County,Northwest Hills,CT,9160,91035.0,2019-2023
County,South Central Connecticut,CT,9170,86266.0,2019-2023
County,Southeastern Connecticut,CT,9180,84185.0,2019-2023
County,Western Connecticut,CT,9190,124553.0,2019-2023
County,Kent,DE,10001,72872.0,2019-2023
County,New Castle,DE,10003,89901.0,2019-2023
County,Sussex,DE,10005,78162.0,2019-2023
County,District of Columbia,DC,11001,106287.0,2019-2023
County,Alachua,FL,12001,59659.0,2019-2023
County,Baker,FL,12003,70833.0,2019-2023
County,Bay,FL,12005,70188.0,2019-2023
County,Bradford,FL,12007,59740.0,2019-2023
County,Brevard,FL,12009,75817.0,2019-2023
County,Broward,FL,12011,74534.0,2019-2023
County,Calhoun,FL,12013,46901.0,2019-2023
County,Charlotte,FL,12015,66154.0,2019-2023
County,Citrus,FL,12017,55355.0,2019-2023
County,Clay,FL,12019,86094.0,2019-2023
County,Collier,FL,12021,86173.0,2019-2023
County,Columbia,FL,12023,55070.0,2019-2023
County,DeSoto,FL,12027,50868.0,2019-2023
County,Dixie,FL,12029,47655.0,2019-2023
County,Duval,FL,12031,68447.0,2019-2023
County,Escambia,FL,12033,65715.0,2019-2023
County,Flagler,FL,12035,72923.0,2019-2023
County,Franklin,FL,12037,62734.0,2019-2023
County,Gadsden,FL,12039,46047.0,2019-2023
County,Gilchrist,FL,12041,61070.0,2019-2023
County,Glades,FL,12043,38905.0,2019-2023
County,Gulf,FL,12045,67361.0,2019-2023
County,Hamilton,FL,12047,47696.0,2019-2023
County,Hardee,FL,12049,54231.0,2019-2023
County,Hendry,FL,12051,53044.0,2019-2023
County,Hernando,FL,12053,63193.0,2019-2023
County,Highlands,FL,12055,55581.0,2019-2023
County,Hillsborough,FL,12057,75011.0,2019-2023
County,Holmes,FL,12059,48236.0,2019-2023
County,Indian River,FL,12061,71049.0,2019-2023
County,Jackson,FL,12063,47327.0,2019-2023
County,Jefferson,FL,12065,56984.0,2019-2023
County,Lafayette,FL,12067,60692.0,2019-2023
County,Lake,FL,12069,69956.0,2019-2023
County,Lee,FL,12071,73099.0,2019-2023
County,Leon,FL,12073,65074.0,2019-2023
County,Levy,FL,12075,53805.0,2019-2023
County,Liberty,FL,12077,53824.0,2019-2023
County,Madison,FL,12079,48176.0,2019-2023
County,Manatee,FL,12081,75792.0,2019-2023
County,Marion,FL,12083,58535.0,2019-2023
County,Martin,FL,12085,80701.0,2019-2023
County,Miami-Dade,FL,12086,68694.0,2019-2023
County,Monroe,FL,12087,82430.0,2019-2023
County,Nassau,FL,12089,88900.0,2019-2023
County,Okaloosa,FL,12091,79097.0,2019-2023
County,Okeechobee,FL,12093,52288.0,2019-2023
County,Orange,FL,12095,77011.0,2019-2023
County,Osceola,FL,12097,68711.0,2019-2023
County,Palm Beach,FL,12099,81115.0,2019-2023
County,Pasco,FL,12101,67384.0,2019-2023
County,Pinellas,FL,12103,70293.0,2019-2023
County,Polk,FL,12105,63644.0,2019-2023
County,Putnam,FL,12107,47256.0,2019-2023
County,St. Johns,FL,12109,106169.0,2019-2023
County,St. Lucie,FL,12111,69027.0,2019-2023
County,Santa Rosa,FL,12113,88968.0,2019-2023
County,Sarasota,FL,12115,80633.0,2019-2023
County,Seminole,FL,12117,83030.0,2019-2023
County,Sumter,FL,12119,73297.0,2019-2023
County,Suwannee,FL,12121,55479.0,2019-2023
County,Taylor,FL,12123,44985.0,2019-2023
County,Union,FL,12125,64922.0,2019-2023
County,Volusia,FL,12127,66581.0,2019-2023
County,Wakulla,FL,12129,74183.0,2019-2023
County,Walton,FL,12131,79281.0,2019-2023
County,Washington,FL,12133,52723.0,2019-2023
County,Appling,GA,13001,43728.0,2019-2023
County,Atkinson,GA,13003,38438.0,2019-2023
County,Bacon,GA,13005,50310.0,2019-2023
County,Baker,GA,13007,44405.0,2019-2023
County,Baldwin,GA,13009,55413.0,2019-2023
County,Banks,GA,13011,68830.0,2019-2023
County,Barrow,GA,13013,77477.0,2019-2023
County,Bartow,GA,13015,79431.0,2019-2023
County,Ben Hill,GA,13017,39081.0,2019-2023
County,Berrien,GA,13019,50414.0,2019-2023
County,Bibb,GA,13021,50747.0,2019-2023
County,Bleckley,GA,13023,53005.0,2019-2023
County,Brantley,GA,13025,47801.0,2019-2023
County,Brooks,GA,13027,47656.0,2019-2023
County,Bryan,GA,13029,94234.0,2019-2023
County,Bulloch,GA,13031,56832.0,2019-2023
County,Burke,GA,13033,50739.0,2019-2023
County,Butts,GA,13035,59221.0,2019-2023
County,Calhoun,GA,13037,55714.0,2019-2023
County,Camden,GA,13039,72399.0,2019-2023
County,Candler,GA,13043,50431.0,2019-2023
County,Carroll,GA,13045,72327.0,2019-2023
County,Catoosa,GA,13047,72425.0,2019-2023
County,Charlton,GA,13049,48534.0,2019-2023
County,Chatham,GA,13051,69575.0,2019-2023
County,Chattahoochee,GA,13053,59221.0,2019-2023
County,Chattooga,GA,13055,47785.0,2019-2023
County,Cherokee,GA,13057,105442.0,2019-2023
County,Clarke,GA,13059,52267.0,2019-2023
County,Clay,GA,13061,48715.0,2019-2023
County,Clayton,GA,13063,58507.0,2019-2023
County,Clinch,GA,13065,55549.0,2019-2023
County,Cobb,GA,13067,98712.0,2019-2023
County,Coffee,GA,13069,50175.0,2019-2023
County,Colquitt,GA,13071,49691.0,2019-2023
County,Columbia,GA,13073,96122.0,2019-2023
County,Cook,GA,13075,50133.0,2019-2023
County,Coweta,GA,13077,94142.0,2019-2023
County,Crawford,GA,13079,60905.0,2019-2023
County,Crisp,GA,13081,42745.0,2019-2023
County,Dade,GA,13083,58936.0,2019-2023
County,Dawson,GA,13085,88986.0,2019-2023
County,Decatur,GA,13087,50485.0,2019-2023
County,DeKalb,GA,13089,77683.0,2019-2023
County,Dodge,GA,13091,50152.0,2019-2023
County,Dooly,GA,13093,56545.0,2019-2023
County,Dougherty,GA,13095,46784.0,2019-2023
County,Douglas,GA,13097,80764.0,2019-2023
County,Early,GA,13099,53750.0,2019-2023
County,Echols,GA,13101,61723.0,2019-2023
County,Effingham,GA,13103,85465.0,2019-2023
County,Elbert,GA,13105,49727.0,2019-2023
County,Emanuel,GA,13107,50053.0,2019-2023
County,Evans,GA,13109,53908.0,2019-2023
County,Fannin,GA,13111,58073.0,2019-2023
County,Fayette,GA,13113,108986.0,2019-2023
County,Floyd,GA,13115,62540.0,2019-2023
County,Forsyth,GA,13117,138000.0,2019-2023
County,Franklin,GA,13119,52264.0,2019-2023
County,Fulton,GA,13121,91490.0,2019-2023
County,Gilmer,GA,13123,72542.0,2019-2023
County,Glascock,GA,13125,55250.0,2019-2023
County,Glynn,GA,13127,68546.0,2019-2023
County,Gordon,GA,13129,61997.0,2019-2023
County,Grady,GA,13131,54312.0,2019-2023
County,Greene,GA,13133,84530.0,2019-2023
County,Gwinnett,GA,13135,84823.0,2019-2023
County,Habersham,GA,13137,65622.0,2019-2023
County,Hall,GA,13139,77430.0,2019-2023
County,Hancock,GA,13141,33182.0,2019-2023
County,Haralson,GA,13143,65016.0,2019-2023
County,Harris,GA,13145,89184.0,2019-2023
County,Hart,GA,13147,57241.0,2019-2023
County,Heard,GA,13149,62907.0,2019-2023
County,Henry,GA,13151,81612.0,2019-2023
County,Houston,GA,13153,80743.0,2019-2023
County,Irwin,GA,13155,53915.0,2019-2023
County,Jackson,GA,13157,85012.0,2019-2023
County,Jasper,GA,13159,59574.0,2019-2023
County,Jeff Davis,GA,13161,40879.0,2019-2023
County,Jefferson,GA,13163,46561.0,2019-2023
County,Jenkins,GA,13165,36906.0,2019-2023
County,Johnson,GA,13167,54183.0,2019-2023
County,Jones,GA,13169,68259.0,2019-2023
County,Lamar,GA,13171,68457.0,2019-2023
County,Lanier,GA,13173,44361.0,2019-2023
County,Laurens,GA,13175,49705.0,2019-2023
County,Lee,GA,13177,88024.0,2019-2023
County,Liberty,GA,13179,59013.0,2019-2023
County,Lincoln,GA,13181,50688.0,2019-2023
County,Long,GA,13183,64747.0,2019-2023
County,Lowndes,GA,13185,55887.0,2019-2023
County,Lumpkin,GA,13187,72388.0,2019-2023
County,McDuffie,GA,13189,54058.0,2019-2023
County,McIntosh,GA,13191,50348.0,2019-2023
County,Macon,GA,13193,37177.0,2019-2023
County,Madison,GA,13195,58784.0,2019-2023
County,Marion,GA,13197,50484.0,2019-2023
County,Meriwether,GA,13199,56458.0,2019-2023
County,Miller,GA,13201,58407.0,2019-2023
County,Mitchell,GA,13205,51908.0,2019-2023
County,Monroe,GA,13207,82863.0,2019-2023
County,Montgomery,GA,13209,51188.0,2019-2023
County,Morgan,GA,13211,85692.0,2019-2023
County,Murray,GA,13213,67880.0,2019-2023
County,Muscogee,GA,13215,56622.0,2019-2023
County,Newton,GA,13217,73732.0,2019-2023
County,Oconee,GA,13219,115925.0,2019-2023
County,Oglethorpe,GA,13221,69784.0,2019-2023
County,Paulding,GA,13223,94557.0,2019-2023
County,Peach,GA,13225,68365.0,2019-2023
County,Pickens,GA,13227,75293.0,2019-2023
County,Pierce,GA,13229,56691.0,2019-2023
County,Pike,GA,13231,84184.0,2019-2023
County,Polk,GA,13233,55308.0,2019-2023
County,Pulaski,GA,13235,47688.0,2019-2023
County,Putnam,GA,13237,64163.0,2019-2023
County,Quitman,GA,13239,36838.0,2019-2023
County,Rabun,GA,13241,61466.0,2019-2023
County,Randolph,GA,13243,25425.0,2019-2023
County,Richmond,GA,13245,53197.0,2019-2023
County,Rockdale,GA,13247,72349.0,2019-2023
County,Schley,GA,13249,59647.0,2019-2023
County,Screven,GA,13251,53017.0,2019-2023
County,Seminole,GA,13253,49559.0,2019-2023
County,Spalding,GA,13255,60217.0,2019-2023
County,Stephens,GA,13257,52264.0,2019-2023
County,Stewart,GA,13259,35000.0,2019-2023
County,Sumter,GA,13261,41877.0,2019-2023
County,Talbot,GA,13263,45098.0,2019-2023
County,Taliaferro,GA,13265,48036.0,2019-2023
County,Tattnall,GA,13267,52351.0,2019-2023
County,Taylor,GA,13269,41743.0,2019-2023
County,Telfair,GA,13271,44948.0,2019-2023
County,Terrell,GA,13273,43812.0,2019-2023
County,Thomas,GA,13275,60140.0,2019-2023
County,Tift,GA,13277,53165.0,2019-2023
County,Toombs,GA,13279,54130.0,2019-2023
County,Towns,GA,13281,58400.0,2019-2023
County,Treutlen,GA,13283,43750.0,2019-2023
County,Troup,GA,13285,54905.0,2019-2023
County,Turner,GA,13287,39565.0,2019-2023
County,Twiggs,GA,13289,55439.0,2019-2023
County,Union,GA,13291,65697.0,2019-2023
County,Upson,GA,13293,50904.0,2019-2023
County,Walker,GA,13295,55887.0,2019-2023
County,Walton,GA,13297,82381.0,2019-2023
County,Ware,GA,13299,44833.0,2019-2023
County,Warren,GA,13301,46776.0,2019-2023
County,Washington,GA,13303,44009.0,2019-2023
County,Wayne,GA,13305,49562.0,2019-2023
County,Webster,GA,13307,40764.0,2019-2023
County,Wheeler,GA,13309,45262.0,2019-2023
County,White,GA,13311,69747.0,2019-2023
County,Whitfield,GA,13313,64262.0,2019-2023
County,Wilcox,GA,13315,48036.0,2019-2023
County,Wilkes,GA,13317,52542.0,2019-2023
County,Wilkinson,GA,13319,46673.0,2019-2023
County,Worth,GA,13321,57201.0,2019-2023
County,Hawaii,HI,15001,77215.0,2019-2023
County,Honolulu,HI,15003,104264.0,2019-2023
County,Kalawao,HI,15005,86250.0,2019-2023
County,Kauai,HI,15007,93612.0,2019-2023
County,Maui,HI,15009,95076.0,2019-2023
County,Ada,ID,16001,88907.0,2019-2023
County,Adams,ID,16003,59286.0,2019-2023
County,Bannock,ID,16005,64080.0,2019-2023
County,Bear Lake,ID,16007,67304.0,2019-2023
County,Benewah,ID,16009,56553.0,2019-2023
County,Bingham,ID,16011,76842.0,2019-2023
County,Blaine,ID,16013,84470.0,2019-2023
County,Boise,ID,16015,77349.0,2019-2023
County,Bonner,ID,16017,65168.0,2019-2023
County,Bonneville,ID,16019,76646.0,2019-2023
County,Boundary,ID,16021,62438.0,2019-2023
County,Butte,ID,16023,43281.0,2019-2023
County,Camas,ID,16025,55536.0,2019-2023
County,Canyon,ID,16027,72355.0,2019-2023
County,Caribou,ID,16029,66653.0,2019-2023
County,Cassia,ID,16031,67042.0,2019-2023
County,Clark,ID,16033,52083.0,2019-2023
County,Clearwater,ID,16035,57961.0,2019-2023
County,Custer,ID,16037,56957.0,2019-2023
