County,State,GeoID,Total_Population,Insured,Uninsured,Percent_Insured,Percent_Uninsured
Cochise,AZ,4003,125458.0,108082.0,9392.0,86.14994659567346,7.486170670662692
Coconino,AZ,4005,144643.0,128291.0,15714.0,88.69492474575334,10.863989270134054
Gila,AZ,4007,53610.0,47231.0,5260.0,88.10110054094386,9.811602313001305
Graham,AZ,4009,38860.0,32833.0,3153.0,84.49047864127638,8.113741636644365
Greenlee,AZ,4011,9452.0,9177.0,242.0,97.09056284384258,2.5603046974185357
La Paz,AZ,4012,16605.0,14359.0,2126.0,86.47395362842516,12.803372478169225
Maricopa,AZ,4013,4491987.0,3974385.0,476735.0,88.47721509434466,10.613009343081357
Mohave,AZ,4015,217420.0,192876.0,20696.0,88.71125011498482,9.518903504737375
Navajo,AZ,4017,107744.0,89166.0,16165.0,82.75727650727652,15.003155628155628
Pima,AZ,4019,1049947.0,934986.0,91882.0,89.05078065845228,8.751108389280601
Pinal,AZ,4021,449219.0,387059.0,43687.0,86.1626511790463,9.72510067472658
Santa Cruz,AZ,4023,48209.0,41088.0,6950.0,85.2288991682051,14.416395278889835
Yavapai,AZ,4025,241656.0,214547.0,25695.0,88.78198761876386,10.632883106564703
Yuma,AZ,4027,207685.0,169169.0,29063.0,81.45460673616294,13.993788670342106
Arkansas,AR,5001,16773.0,15435.0,1100.0,92.02289393668396,6.5581589459249985
Ashley,AR,5003,18722.0,16939.0,1599.0,90.47644482427091,8.540754192928105
Baxter,AR,5005,42150.0,38771.0,2988.0,91.98339264531435,7.088967971530249
Benton,AR,5007,294541.0,264229.0,28690.0,89.70873324936088,9.74057940999725
Boone,AR,5009,37896.0,34562.0,2967.0,91.20223770318768,7.8293223559214695
Bradley,AR,5011,10354.0,9039.0,1233.0,87.29959435966776,11.908441182151826
Calhoun,AR,5013,4717.0,4219.0,444.0,89.44244223023108,9.412762348950604
Carroll,AR,5015,28526.0,24464.0,3798.0,85.76035897076352,13.314169529551986
Chicot,AR,5017,9997.0,8312.0,974.0,83.14494348304491,9.742922876863059
Clark,AR,5019,21378.0,19293.0,1836.0,90.24698287959585,8.588268313219197
Clay,AR,5021,14399.0,13028.0,1267.0,90.47850545176749,8.799222168206125
Cleburne,AR,5023,25048.0,22952.0,1793.0,91.6320664324497,7.1582561481954645
Cleveland,AR,5025,7491.0,7050.0,363.0,94.11293552262715,4.845814977973569
Columbia,AR,5027,22527.0,20695.0,1465.0,91.86753673369734,6.503307142540063
Conway,AR,5029,20872.0,19428.0,1322.0,93.08164047527788,6.333844384821771
Craighead,AR,5031,112097.0,101574.0,9334.0,90.61259444945003,8.326717039706683
Crawford,AR,5033,60792.0,54949.0,5067.0,90.38853796552178,8.334978286616659
Crittenden,AR,5035,47609.0,43265.0,3764.0,90.87567476737591,7.906068180386061
Cross,AR,5037,16681.0,15257.0,1236.0,91.4633415262874,7.409627720160662
Dallas,AR,5039,6351.0,5755.0,281.0,90.61565107857031,4.4245000787277595
Desha,AR,5041,11041.0,10057.0,932.0,91.08776378951183,8.44126437822661
Drew,AR,5043,17143.0,15633.0,1200.0,91.19174006883276,6.999941667152773
Faulkner,AR,5045,126001.0,114956.0,9330.0,91.2341965539956,7.404703137276688
Franklin,AR,5047,17220.0,15584.0,1405.0,90.49941927990709,8.159117305458768
Fulton,AR,5049,12239.0,10699.0,1372.0,87.41727265299453,11.210066181877604
Garland,AR,5051,100062.0,89629.0,9372.0,89.57346445203973,9.366192960364573
Grant,AR,5053,18111.0,16721.0,1195.0,92.32510628899564,6.598199988956988
Greene,AR,5055,46182.0,41548.0,4120.0,89.96578753626953,8.921224719587718
Hempstead,AR,5057,19778.0,17576.0,1974.0,88.86641723126706,9.98078673273334
Hot Spring,AR,5059,33142.0,28357.0,2468.0,85.56212660672259,7.446744312352906
Howard,AR,5061,12701.0,11051.0,1458.0,87.00889693724903,11.47941106999449
Independence,AR,5063,38120.0,33730.0,3865.0,88.48373557187827,10.13903462749213
Izard,AR,5065,13866.0,11937.0,838.0,86.08827347468629,6.043559786528198
Jackson,AR,5067,16775.0,13180.0,1281.0,78.56929955290612,7.636363636363637
Jefferson,AR,5069,65780.0,57912.0,3341.0,88.038917604135,5.079051383399209
Johnson,AR,5071,25932.0,23699.0,2007.0,91.38901743020207,7.739472466450717
Lafayette,AR,5073,6211.0,5591.0,526.0,90.0177105136049,8.4688455965223
Lawrence,AR,5075,16265.0,14544.0,1488.0,89.41899784814018,9.148478327697509
Lee,AR,5077,8511.0,6545.0,453.0,76.90048172952649,5.322523792738808
Lincoln,AR,5079,12966.0,7883.0,675.0,60.797470306956654,5.205923183711245
Little River,AR,5081,11959.0,11137.0,666.0,93.12651559494941,5.569027510661426
Logan,AR,5083,21240.0,19399.0,1619.0,91.33239171374764,7.622410546139359
Lonoke,AR,5085,74747.0,67707.0,4895.0,90.58156180181143,6.54875780967798
Madison,AR,5087,17032.0,14826.0,2117.0,87.0479098168154,12.429544387036168
Marion,AR,5089,17076.0,15686.0,1223.0,91.85992035605528,7.1620988521902085
Miller,AR,5091,42588.0,36731.0,4676.0,86.24729970883817,10.979618671926364
Mississippi,AR,5093,39749.0,35258.0,3688.0,88.70160255603915,9.278220835744296
Monroe,AR,5095,6681.0,6128.0,464.0,91.72279598862445,6.945068103577309
Montgomery,AR,5097,8571.0,7505.0,947.0,87.56271146890677,11.048885777622214
Nevada,AR,5099,8228.0,7566.0,497.0,91.95430238210986,6.040350024307243
Newton,AR,5101,7175.0,6661.0,433.0,92.8362369337979,6.034843205574913
Ouachita,AR,5103,22317.0,20685.0,1279.0,92.68718913832504,5.731057041717077
Perry,AR,5105,10073.0,9442.0,529.0,93.73572917700784,5.251662861113869
Phillips,AR,5107,15910.0,14410.0,1327.0,90.57196731615336,8.340666247642991
Pike,AR,5109,10182.0,8873.0,1157.0,87.14397957179337,11.363189943036732
Poinsett,AR,5111,22740.0,20195.0,2230.0,88.80826737027265,9.80650835532102
Polk,AR,5113,19348.0,17321.0,1857.0,89.52346495761836,9.597891254910069
Pope,AR,5115,63830.0,58487.0,4763.0,91.62932790224032,7.4620084599718
Prairie,AR,5117,8162.0,7515.0,483.0,92.07302131830434,5.917667238421955
Pulaski,AR,5119,398949.0,353924.0,37706.0,88.71409628799671,9.451333378451883
Randolph,AR,5121,18733.0,17123.0,1303.0,91.40554102386163,6.95563978006726
St. Francis,AR,5123,22740.0,18299.0,1569.0,80.47053649956024,6.899736147757256
Saline,AR,5125,125724.0,116849.0,7509.0,92.94088638605199,5.972606662212465
Scott,AR,5127,9839.0,8790.0,958.0,89.33834739302775,9.736761866043297
Searcy,AR,5129,7861.0,7309.0,450.0,92.97799262180384,5.724462536572955
Sebastian,AR,5131,128448.0,113534.0,13306.0,88.38907573492776,10.359055804683608
Sevier,AR,5133,15797.0,12727.0,2963.0,80.56593023991897,18.756725960625435
Sharp,AR,5135,17597.0,16358.0,1038.0,92.95902710689322,5.898732738534978
Stone,AR,5137,12474.0,11251.0,1120.0,90.19560686227352,8.978675645342312
Union,AR,5139,38368.0,35696.0,2206.0,93.03586321934945,5.749582985821518
Van Buren,AR,5141,15936.0,14223.0,1561.0,89.2507530120482,9.79543172690763
Washington,AR,5143,251863.0,219058.0,30735.0,86.97506183917447,12.203062776191818
White,AR,5145,77395.0,69441.0,7491.0,89.72285031332773,9.6789198268622
Woodruff,AR,5147,6157.0,5556.0,482.0,90.23875263927236,7.828487899951275
Yell,AR,5149,20195.0,18271.0,1649.0,90.47288932904183,8.165387472146572
Alameda,CA,6001,1651949.0,1574283.0,67038.0,95.29852313842618,4.058115595578314
Alpine,CA,6003,1695.0,1610.0,85.0,94.98525073746312,5.014749262536873
Amador,CA,6005,41029.0,35568.0,2221.0,86.68990226425211,5.413244290623705
Butte,CA,6007,209470.0,194212.0,13173.0,92.71590203847806,6.288728696233351
Calaveras,CA,6009,45995.0,43263.0,2407.0,94.0602239373845,5.233177519295576
Colusa,CA,6011,21895.0,19728.0,1947.0,90.10276318794244,8.892441196620233
Contra Costa,CA,6013,1161458.0,1100983.0,55641.0,94.79318236216892,4.790616621522259
Del Norte,CA,6015,27293.0,23582.0,1471.0,86.40310702377899,5.38966035247133
El Dorado,CA,6017,192299.0,183631.0,7653.0,95.49243625811886,3.9797398842427683
Fresno,CA,6019,1012152.0,929816.0,70433.0,91.86525344019475,6.958737422837677
Glenn,CA,6021,28623.0,25866.0,2541.0,90.36788596583168,8.877476155539252
Humboldt,CA,6023,135418.0,126732.0,7770.0,93.58578623225864,5.737789658686437
Imperial,CA,6025,179319.0,160157.0,11673.0,89.31401580423714,6.509628092951668
Inyo,CA,6027,18803.0,17126.0,1316.0,91.08121044514174,6.998883156943041
Kern,CA,6029,910433.0,818517.0,69712.0,89.90414451145774,7.657015947356917
Kings,CA,6031,152830.0,124994.0,10715.0,81.78629850160308,7.011058038343257
Lake,CA,6033,68139.0,63211.0,4306.0,92.76772479783972,6.319435272017494
Lassen,CA,6035,31177.0,22556.0,1611.0,72.3482054078327,5.167270744459056
Los Angeles,CA,6037,9848406.0,8928719.0,849903.0,90.66156492735982,8.629853399626294
Madera,CA,6039,158790.0,140772.0,11433.0,88.6529378424334,7.200075571509541
Marin,CA,6041,258765.0,245816.0,9666.0,94.99584565145982,3.7354356269201783
Mariposa,CA,6043,17060.0,15799.0,1107.0,92.6084407971864,6.488862837045721
Mendocino,CA,6045,90709.0,82626.0,7335.0,91.08908708066454,8.086297941769836
Merced,CA,6047,285597.0,257720.0,25346.0,90.23904312720373,8.874743082035176
Modoc,CA,6049,8646.0,7647.0,834.0,88.44552394170715,9.646079111727966
Mono,CA,6051,13169.0,11505.0,1506.0,87.36426456071075,11.435948059837497
Monterey,CA,6053,435834.0,378864.0,41838.0,86.92850947837938,9.599526425198585
Napa,CA,6055,136070.0,126915.0,7679.0,93.2718453737047,5.643418828544132
Nevada,CA,6057,102452.0,96212.0,5322.0,93.9093429118026,5.194627728106821
Orange,CA,6059,3164063.0,2934757.0,213959.0,92.75279916992804,6.762159919066087
Placer,CA,6061,412435.0,395542.0,13827.0,95.90408185532266,3.3525282771830716
Plumas,CA,6063,19607.0,18480.0,979.0,94.25205283827205,4.993114703932269
Riverside,CA,6065,2449909.0,2231854.0,195124.0,91.0994653270795,7.964540723757494
Sacramento,CA,6067,1584047.0,1489558.0,80866.0,94.03496234644552,5.105025292810125
San Benito,CA,6069,66056.0,61749.0,4154.0,93.47977473658715,6.28860360905898
San Bernardino,CA,6071,2187816.0,1967467.0,181725.0,89.92835777780216,8.30622867736592
San Diego,CA,6073,3282782.0,2956388.0,214784.0,90.05739643997073,6.542743319538123
San Francisco,CA,6075,836321.0,803423.0,28786.0,96.06634294726545,3.4419798139709514
San Joaquin,CA,6077,787416.0,728000.0,50075.0,92.45430623710973,6.35940849563636
San Luis Obispo,CA,6079,281486.0,260578.0,16050.0,92.57227712923556,5.701882153997002
San Mateo,CA,6081,745100.0,712145.0,29225.0,95.57710374446383,3.9222923097570797
Santa Barbara,CA,6083,443975.0,396243.0,40217.0,89.2489441973084,9.058392927529702
Santa Clara,CA,6085,1903297.0,1817894.0,75322.0,95.51289157708965,3.9574485747626356
Santa Cruz,CA,6087,266021.0,250931.0,14067.0,94.32751549689686,5.287928396630341
Shasta,CA,6089,181554.0,167849.0,12062.0,92.45128171232801,6.643753373651916
Sierra,CA,6091,2731.0,2306.0,327.0,84.43793482240937,11.973636030757964
Siskiyou,CA,6093,43834.0,40820.0,2801.0,93.12405894967377,6.390016881872519
Solano,CA,6095,450824.0,417588.0,21296.0,92.62772168296274,4.723794651571344
Sonoma,CA,6097,485642.0,456003.0,26060.0,93.89694466294102,5.366092718504578
Stanislaus,CA,6099,552250.0,516217.0,33141.0,93.47523766410141,6.001086464463558
Sutter,CA,6101,98971.0,91778.0,5821.0,92.73221448707197,5.881520849541785
Tehama,CA,6103,65520.0,60912.0,4149.0,92.96703296703296,6.332417582417582
Trinity,CA,6105,15886.0,13792.0,1954.0,86.81858239959713,12.300138486717865
Tulare,CA,6107,475774.0,433760.0,37746.0,91.16933670187947,7.9335987254452744
Tuolumne,CA,6109,54873.0,49302.0,3059.0,89.84746596686895,5.574690649317516
Ventura,CA,6111,838259.0,764435.0,65925.0,91.19317537896998,7.864514428118278
Yolo,CA,6113,217782.0,206049.0,10032.0,94.61250241066755,4.60644130368901
Yuba,CA,6115,83079.0,74756.0,5517.0,89.98182452846086,6.640667316650417
Adams,CO,8001,524408.0,463160.0,57909.0,88.32054430901131,11.042737715671768
Alamosa,CO,8003,16515.0,15216.0,1039.0,92.13442325158945,6.291250378443839
Arapahoe,CO,8005,655709.0,591301.0,58302.0,90.17735001349683,8.891444222970861
Archuleta,CO,8007,13730.0,12052.0,1568.0,87.77858703568828,11.420247632920612
Baca,CO,8009,3460.0,3116.0,260.0,90.05780346820809,7.514450867052023
Bent,CO,8011,5524.0,3904.0,348.0,70.67342505430847,6.2997827661115124
Boulder,CO,8013,328317.0,311836.0,14265.0,94.98015637326121,4.344886192308044
Broomfield,CO,8014,75110.0,71072.0,3584.0,94.62388496871256,4.7716682199440825
Chaffee,CO,8015,19876.0,17123.0,1348.0,86.14912457234855,6.782048701952103
Cheyenne,CO,8017,1732.0,1555.0,136.0,89.78060046189377,7.852193995381063
Clear Creek,CO,8019,9358.0,8645.0,637.0,92.38085060910451,6.807010044881386
Conejos,CO,8021,7536.0,6481.0,1014.0,86.00053078556263,13.455414012738853
Costilla,CO,8023,3571.0,3256.0,295.0,91.17894147297676,8.260991318958274
Crowley,CO,8025,5734.0,3861.0,322.0,67.33519358214161,5.615626089989536
Custer,CO,8027,5073.0,4667.0,397.0,91.99684604770353,7.825744135619948
Delta,CO,8029,31353.0,27068.0,3362.0,86.33304627946289,10.723056804771474
Denver,CO,8031,713734.0,644528.0,62025.0,90.30367055513679,8.690212319995965
Dolores,CO,8033,2385.0,2225.0,160.0,93.29140461215934,6.708595387840671
Douglas,CO,8035,368283.0,353050.0,13515.0,95.86377867020742,3.669732243953699
Eagle,CO,8037,55374.0,49675.0,5592.0,89.70816628742732,10.098602232094485
Elbert,CO,8039,27152.0,25829.0,1234.0,95.127430760165,4.544784914555097
El Paso,CO,8041,736008.0,647635.0,49508.0,87.99292942468017,6.726557320029131
Fremont,CO,8043,49394.0,39052.0,2432.0,79.06223427946713,4.923674940276147
Garfield,CO,8045,62034.0,50436.0,10979.0,81.3038011413096,17.698358964438857
Gilpin,CO,8047,5877.0,5400.0,433.0,91.88361408882083,7.367704611196188
Grand,CO,8049,15794.0,13681.0,2079.0,86.6215018361403,13.163226541724708
Gunnison,CO,8051,17158.0,16034.0,1053.0,93.44911994404941,6.137078913626297
Hinsdale,CO,8053,939.0,839.0,100.0,89.35037273695421,10.649627263045794
Huerfano,CO,8055,6946.0,6524.0,289.0,93.92456089835876,4.1606680103656775
Jackson,CO,8057,1422.0,1310.0,106.0,92.12376933895922,7.454289732770746
Jefferson,CO,8059,579715.0,543902.0,30099.0,93.82230923816013,5.19203401671511
Kiowa,CO,8061,1356.0,1236.0,93.0,91.1504424778761,6.8584070796460175
Kit Carson,CO,8063,7015.0,6179.0,751.0,88.08267997148967,10.705630791161797
Lake,CO,8065,7411.0,6379.0,981.0,86.07475374443395,13.237080016192145
La Plata,CO,8067,56088.0,50401.0,5307.0,89.86057623734132,9.461916987590929
Larimer,CO,8069,363561.0,340365.0,20626.0,93.6197776989281,5.673325796771381
Las Animas,CO,8071,14392.0,12729.0,1177.0,88.4449694274597,8.178154530294607
Lincoln,CO,8073,5561.0,4025.0,344.0,72.3790685128574,6.185937780974645
Logan,CO,8075,21067.0,17843.0,1713.0,84.69644467650829,8.131200455688992
Mesa,CO,8077,157316.0,140682.0,15311.0,89.426377482265,9.732640036614203
Mineral,CO,8079,799.0,672.0,124.0,84.10513141426783,15.519399249061328
Moffat,CO,8081,13258.0,11968.0,1166.0,90.27002564489365,8.794689998491476
Montezuma,CO,8083,26204.0,23002.0,2969.0,87.780491528011,11.330331247137842
Montrose,CO,8085,43272.0,37319.0,5533.0,86.24283601405067,12.786559437973747
Morgan,CO,8087,29186.0,25629.0,3094.0,87.8126499006373,10.60097306927979
Otero,CO,8089,18460.0,16971.0,1303.0,91.93391115926327,7.058504875406284
Ouray,CO,8091,5024.0,4307.0,717.0,85.72850318471338,14.271496815286625
Park,CO,8093,17739.0,16406.0,1236.0,92.48548396189187,6.967698291899205
Phillips,CO,8095,4491.0,4173.0,241.0,92.9191716766867,5.366288131819194
Pitkin,CO,8097,17119.0,16318.0,777.0,95.32098837548922,4.538816519656522
Prowers,CO,8099,11931.0,10604.0,1191.0,88.87771351940323,9.982398793060096
Pueblo,CO,8101,168726.0,155294.0,9368.0,92.03916408852221,5.552197053210531
Rio Blanco,CO,8103,6518.0,5796.0,618.0,88.92298250997239,9.481436023320036
Rio Grande,CO,8105,11394.0,9683.0,1546.0,84.98332455678427,13.5685448481657
Routt,CO,8107,24990.0,22843.0,1993.0,91.40856342537015,7.975190076030413
Saguache,CO,8109,6511.0,5767.0,714.0,88.57318384272769,10.966057441253264
San Juan,CO,8111,690.0,604.0,86.0,87.53623188405797,12.46376811594203
San Miguel,CO,8113,8026.0,7150.0,863.0,89.08547221530027,10.752554198853726
Sedgwick,CO,8115,2346.0,2123.0,193.0,90.49445865302643,8.226768968456948
Summit,CO,8117,30857.0,27668.0,3151.0,89.66522993162005,10.211621350098843
Teller,CO,8119,24774.0,22909.0,1722.0,92.47194639541455,6.950835553402761
Washington,CO,8121,4839.0,4357.0,292.0,90.03926431080802,6.034304608390164
Weld,CO,8123,340711.0,309927.0,28705.0,90.96477659952276,8.425028836756079
Yuma,CO,8125,9921.0,8321.0,1425.0,83.87259348855962,14.363471424251587
Capitol,CT,9110,969029.0,915659.0,40342.0,94.49242489130873,4.163136500558807
Greater Bridgeport,CT,9120,326296.0,296809.0,27196.0,90.96311324686788,8.334763527594577
Lower Connecticut River Valley,CT,9130,174983.0,167086.0,5920.0,95.48699016475886,3.383185795191533
Naugatuck Valley,CT,9140,452303.0,427521.0,19991.0,94.52092955386102,4.419824763488193
Northeastern Connecticut,CT,9150,95829.0,91337.0,3539.0,95.3124836949149,3.6930365546963864
Northwest Hills,CT,9160,112848.0,107548.0,4368.0,95.30341698567986,3.8706933219906423
South Central Connecticut,CT,9170,566803.0,533452.0,28864.0,94.11594504616242,5.092421882029559
Southeastern Connecticut,CT,9180,279025.0,256785.0,12192.0,92.02938804766599,4.369500940775916
Western Connecticut,CT,9190,621232.0,570946.0,46148.0,91.90543951374043,7.428464728153089
Kent,DE,10001,185043.0,168876.0,12636.0,91.26311181725329,6.82868306285566
New Castle,DE,10003,573030.0,533677.0,32007.0,93.13247124932377,5.5855714360504685
Sussex,DE,10005,247799.0,228068.0,17034.0,92.03749813356794,6.874119750281478
District of Columbia,DC,11001,672079.0,640379.0,22635.0,95.28329258911526,3.3679076418099663
Alachua,FL,12001,281751.0,257431.0,21770.0,91.36826488637129,7.726680650645427
Baker,FL,12003,28186.0,22634.0,2614.0,80.3022777265309,9.274107713049032
Bay,FL,12005,181368.0,152206.0,24454.0,83.92108861541175,13.48308411627189
Bradford,FL,12007,27888.0,21329.0,2724.0,76.48092369477911,9.767641996557659
Brevard,FL,12009,620533.0,553131.0,60681.0,89.13804745275432,9.778851406774498
